node,electricity,blue_water
fips20067,0.5582,1
fips20069,0.5573,1
fips20071,0.5562,1
fips20075,0.5038,1
fips20079,0.5414,1
fips20081,0.5564,1
fips20083,0.5452,1
fips20089,0.0478,1
fips20093,0.4304,1
fips20095,0.5526,1
fips20097,0.5584,1
fips20101,0.5502,1
fips20113,0.5161,1
fips20119,0.5574,1
fips20123,0.0514,1
fips20129,0.5584,1
fips20137,0.537,1
fips20145,0.5474,1
fips20147,0.1962,1
fips20151,0.5584,1
fips20153,0.5556,1
fips20155,0.5564,1
fips20157,0.4785,1
fips20159,0.5567,1
fips20165,0.5186,1
fips20171,0.5462,1
fips20173,0.545,1
fips20175,0.5892,1
fips20179,0.5577,1
fips20181,0.5582,1
fips20185,0.5575,1
fips20187,0.5545,1
fips20189,0.528,1
fips20193,0.5582,1
fips20199,0.5578,1
fips20203,0.5553,1
fips22001,0.2389,1
fips22003,0.2536,1
fips22009,0.2944,1
fips22019,0.2553,1
fips22023,0.1532,1
fips22025,0.2231,1
fips22029,0.276,1
fips22035,0.2884,1
fips22039,0.2913,1
fips22041,0.2581,1
fips22053,0.2391,1
fips22065,0.3094,1
fips22067,0.2361,1
fips22069,0.0688,1
fips22073,0.1275,1
fips22077,0.3162,1
fips22079,0.1098,1
fips22083,0.2443,1
fips22097,0.2761,1
fips22107,0.2971,1
fips22113,0.1535,1
fips22123,0.2864,1
fips24011,0.3285,1
fips24019,0.3884,1
fips24035,0.3429,1
fips25023,0.2862,1
fips26005,0.1587,1
fips26009,0.2704,1
fips26021,0.2085,1
fips26023,0.1604,1
fips26027,0.2679,1
fips26077,0.2106,1
fips26107,0.2611,1
fips26117,0.2519,1
fips26149,0.2299,1
fips26159,0.2574,1
fips27037,0.4107,1
fips27057,0.2275,1
fips27097,0.2349,1
fips27111,0.2427,1
fips27121,0.2011,1
fips27141,0.2482,1
fips27145,0.1969,1
fips27151,0.294,1
fips27159,0.454,1
fips28011,0.3125,1
fips28015,0.3556,1
fips28027,0.3287,1
fips28033,0.3325,1
fips28051,0.3472,1
fips28053,0.3324,1
fips28055,0.3292,1
fips28083,0.3257,1
fips28103,0.0301,1
fips28107,0.3381,1
fips28119,0.3153,1
fips28125,0.3215,1
fips28133,0.3166,1
fips28135,0.3321,1
fips28143,0.3255,1
fips28151,0.3148,1
fips28163,0.3505,1
fips29005,0.0816,1
fips29007,0.0379,1
fips29011,0.0806,1
fips29023,0.084,1
fips29031,0.0843,1
fips29069,0.0816,1
fips29087,0.0575,1
fips29133,0.0843,1
fips29143,0.0816,1
fips29155,0.0843,1
fips29181,0.0816,1
fips29201,0.0816,1
fips29207,0.0838,1
fips30001,0.0261,1
fips30003,0.0266,1
fips30005,0.0279,1
fips30007,0.027,1
fips30009,0.0257,1
fips30011,0.0318,1
fips30013,0.0269,1
fips30015,0.0283,1
fips30017,0.0267,1
fips30021,0.026,1
fips30023,0.0269,1
fips30027,0.0289,1
fips30029,0.0887,1
fips30031,0.0309,1
fips30035,0.0262,1
fips30037,0.0256,1
fips30039,0.0262,1
fips30041,0.042,1
fips30043,0.0278,1
fips30045,0.0275,1
fips30047,0.0273,1
fips30049,0.0329,1
fips30051,0.0259,1
fips30053,0.033,1
fips30055,0.0257,1
fips30057,0.0259,1
fips30059,0.0263,1
fips30063,0.0384,1
fips30065,0.0259,1
fips30067,0.0263,1
fips30069,0.0265,1
fips30071,0.027,1
fips30073,0.0274,1
fips30075,0.0283,1
fips30077,0.0267,1
fips30079,0.0289,1
fips30081,0.0282,1
fips30083,0.0259,1
fips30085,0.03,1
fips30087,0.0269,1
fips30089,0.0306,1
fips30091,0.1551,1
fips30093,0.0289,1
fips30095,0.028,1
fips30097,0.0257,1
fips30099,0.0258,1
fips30101,0.0303,1
fips30103,0.0269,1
fips30105,0.0291,1
fips30107,0.027,1
fips30111,0.027,1
fips31001,0.3139,1
fips31003,0.441,1
fips31005,0.4677,1
fips31007,0.2375,1
fips31009,0.4028,1
fips31011,0.4209,1
fips31013,0.4702,1
fips31015,0.1879,1
fips31017,0.2403,1
fips31019,0.3254,1
fips31021,0.2325,1
fips31023,0.3312,1
fips31027,0.3116,1
fips31029,0.4629,1
fips31031,0.4342,1
fips31033,0.3748,1
fips31035,0.3039,1
fips31037,0.2495,1
fips31039,0.2835,1
fips31041,0.4484,1
fips31043,0.2424,1
fips31045,0.1279,1
fips31047,0.2934,1
fips31049,0.245,1
fips31051,0.2747,1
fips31053,0.2026,1
fips31055,0.1881,1
fips31057,0.3772,1
fips31059,0.3651,1
fips31061,0.311,1
fips31063,0.428,1
fips31065,0.1852,1
fips31067,0.2434,1
fips31069,0.3163,1
fips31071,0.3185,1
fips31073,0.3507,1
fips31077,0.4462,1
fips31079,0.2056,1
fips31081,0.31,1
fips31083,0.313,1
fips31085,0.5274,1
fips31087,0.2263,1
fips31089,0.3607,1
fips31093,0.1772,1
fips31095,0.327,1
fips31097,0.3027,1
fips31099,0.2818,1
fips31101,0.3509,1
fips31103,0.3277,1
fips31105,0.3627,1
fips31107,0.3201,1
fips31111,0.3852,1
fips31113,0.4561,1
fips31115,0.3006,1
fips31117,0.4766,1
fips31119,0.3723,1
fips31121,0.1586,1
fips31123,0.188,1
fips31125,0.1907,1
fips31127,0.1484,1
fips31129,0.2423,1
fips31135,0.5902,1
fips31137,0.2848,1
fips31139,0.3644,1
fips31141,0.2998,1
fips31143,0.316,1
fips31145,0.2341,1
fips31149,0.3972,1
fips31151,0.2811,1
fips31155,0.2797,1
fips31157,0.0612,1
fips31159,0.2913,1
fips31161,0.3856,1
fips31163,0.4308,1
fips31165,0.1498,1
fips31167,0.2673,1
fips31169,0.3095,1
