node,electricity,blue_water
fips20067,0.4651,1
fips20069,0.4644,1
fips20071,0.4635,1
fips20075,0.4198,1
fips20079,0.4512,1
fips20081,0.4637,1
fips20083,0.4543,1
fips20089,0.0398,1
fips20093,0.3587,1
fips20095,0.4605,1
fips20097,0.4653,1
fips20101,0.4585,1
fips20113,0.4301,1
fips20119,0.4645,1
fips20123,0.0428,1
fips20129,0.4653,1
fips20137,0.4475,1
fips20145,0.4562,1
fips20147,0.1635,1
fips20151,0.4653,1
fips20153,0.463,1
fips20155,0.4636,1
fips20157,0.3988,1
fips20159,0.4639,1
fips20165,0.4322,1
fips20171,0.4552,1
fips20173,0.4542,1
fips20175,0.491,1
fips20179,0.4647,1
fips20181,0.4652,1
fips20185,0.4646,1
fips20187,0.4621,1
fips20189,0.44,1
fips20193,0.4652,1
fips20199,0.4648,1
fips20203,0.4627,1
fips22001,0.1991,1
fips22003,0.2114,1
fips22009,0.2453,1
fips22019,0.2128,1
fips22023,0.1277,1
fips22025,0.1859,1
fips22029,0.23,1
fips22035,0.2403,1
fips22039,0.2428,1
fips22041,0.2151,1
fips22053,0.1993,1
fips22065,0.2578,1
fips22067,0.1968,1
fips22069,0.0573,1
fips22073,0.1063,1
fips22077,0.2635,1
fips22079,0.0915,1
fips22083,0.2036,1
fips22097,0.2301,1
fips22107,0.2476,1
fips22113,0.1279,1
fips22123,0.2387,1
fips24011,0.2737,1
fips24019,0.3236,1
fips24035,0.2857,1
fips25023,0.2385,1
fips26005,0.1322,1
fips26009,0.2253,1
fips26021,0.1737,1
fips26023,0.1336,1
fips26027,0.2233,1
fips26077,0.1755,1
fips26107,0.2176,1
fips26117,0.2099,1
fips26149,0.1916,1
fips26159,0.2145,1
fips27037,0.3422,1
fips27057,0.1895,1
fips27097,0.1958,1
fips27111,0.2023,1
fips27121,0.1676,1
fips27141,0.2069,1
fips27145,0.1641,1
fips27151,0.245,1
fips27159,0.3783,1
fips28011,0.2604,1
fips28015,0.2963,1
fips28027,0.2739,1
fips28033,0.2771,1
fips28051,0.2893,1
fips28053,0.277,1
fips28055,0.2744,1
fips28083,0.2714,1
fips28103,0.0251,1
fips28107,0.2818,1
fips28119,0.2628,1
fips28125,0.2679,1
fips28133,0.2638,1
fips28135,0.2768,1
fips28143,0.2713,1
fips28151,0.2623,1
fips28163,0.2921,1
fips29005,0.068,1
fips29007,0.0316,1
fips29011,0.0672,1
fips29023,0.07,1
fips29031,0.0703,1
fips29069,0.068,1
fips29087,0.0479,1
fips29133,0.0702,1
fips29143,0.068,1
fips29155,0.0702,1
fips29181,0.068,1
fips29201,0.068,1
fips29207,0.0698,1
fips30001,0.0218,1
fips30003,0.0222,1
fips30005,0.0232,1
fips30007,0.0225,1
fips30009,0.0214,1
fips30011,0.0265,1
fips30013,0.0224,1
fips30015,0.0236,1
fips30017,0.0222,1
fips30021,0.0216,1
fips30023,0.0224,1
fips30027,0.0241,1
fips30029,0.0739,1
fips30031,0.0257,1
fips30035,0.0219,1
fips30037,0.0213,1
fips30039,0.0218,1
fips30041,0.035,1
fips30043,0.0232,1
fips30045,0.0229,1
fips30047,0.0228,1
fips30049,0.0274,1
fips30051,0.0216,1
fips30053,0.0275,1
fips30055,0.0214,1
fips30057,0.0216,1
fips30059,0.0219,1
fips30063,0.032,1
fips30065,0.0216,1
fips30067,0.0219,1
fips30069,0.0221,1
fips30071,0.0225,1
fips30073,0.0228,1
fips30075,0.0236,1
fips30077,0.0223,1
fips30079,0.0241,1
fips30081,0.0235,1
fips30083,0.0216,1
fips30085,0.025,1
fips30087,0.0224,1
fips30089,0.0255,1
fips30091,0.1292,1
fips30093,0.0241,1
fips30095,0.0233,1
fips30097,0.0214,1
fips30099,0.0215,1
fips30101,0.0253,1
fips30103,0.0224,1
fips30105,0.0242,1
fips30107,0.0225,1
fips30111,0.0225,1
fips31001,0.2615,1
fips31003,0.3675,1
fips31005,0.3898,1
fips31007,0.1979,1
fips31009,0.3357,1
fips31011,0.3508,1
fips31013,0.3918,1
fips31015,0.1566,1
fips31017,0.2002,1
fips31019,0.2712,1
fips31021,0.1938,1
fips31023,0.276,1
fips31027,0.2596,1
fips31029,0.3857,1
fips31031,0.3618,1
fips31033,0.3124,1
fips31035,0.2532,1
fips31037,0.2079,1
fips31039,0.2363,1
fips31041,0.3737,1
fips31043,0.202,1
fips31045,0.1066,1
fips31047,0.2445,1
fips31049,0.2041,1
fips31051,0.2289,1
fips31053,0.1689,1
fips31055,0.1567,1
fips31057,0.3143,1
fips31059,0.3043,1
fips31061,0.2592,1
fips31063,0.3566,1
fips31065,0.1544,1
fips31067,0.2029,1
fips31069,0.2636,1
fips31071,0.2654,1
fips31073,0.2922,1
fips31077,0.3718,1
fips31079,0.1713,1
fips31081,0.2583,1
fips31083,0.2608,1
fips31085,0.4395,1
fips31087,0.1886,1
fips31089,0.3006,1
fips31093,0.1476,1
fips31095,0.2725,1
fips31097,0.2522,1
fips31099,0.2348,1
fips31101,0.2924,1
fips31103,0.2731,1
fips31105,0.3022,1
fips31107,0.2668,1
fips31111,0.321,1
fips31113,0.3801,1
fips31115,0.2505,1
fips31117,0.3971,1
fips31119,0.3103,1
fips31121,0.1321,1
fips31123,0.1567,1
fips31125,0.1589,1
fips31127,0.1237,1
fips31129,0.2019,1
fips31135,0.4918,1
fips31137,0.2374,1
fips31139,0.3036,1
fips31141,0.2498,1
fips31143,0.2633,1
fips31145,0.195,1
fips31149,0.331,1
fips31151,0.2342,1
fips31155,0.2331,1
fips31157,0.051,1
fips31159,0.2427,1
fips31161,0.3214,1
fips31163,0.359,1
fips31165,0.1248,1
fips31167,0.2227,1
fips31169,0.258,1
fips31175,0.2652,1
fips31177,0.1644,1
fips31179,0.3113,1
fips31181,0.2126,1
fips31183,0.3581,1
fips31185,0.277,1
fips32001,0.0291,1
fips32003,0.353,1
fips32005,0.062,1
fips32007,0.043,1
fips32009,0.4956,1
fips32011,0.482,1
fips32013,0.4895,1
fips32015,0.4636,1
fips32017,0.3484,1
fips32019,0.0519,1
fips32021,0.5445,1
fips32023,0.4576,1
fips32027,0.1582,1
fips32031,0.1238,1
fips32033,0.3584,1
fips34001,0.3119,1
fips34005,0.0986,1
fips34011,0.2941,1
fips35001,0.0336,1
fips35003,0.0234,1
fips35005,0.164,1
fips35007,0.0343,1
fips35009,0.3664,1
fips35011,0.0693,1
fips35013,0.0738,1
fips35015,0.1219,1
fips35017,0.0339,1
fips35019,0.0298,1
fips35023,0.2523,1
fips35025,0.2168,1
fips35027,0.0573,1
fips35029,0.0634,1
fips35035,0.1869,1
fips35037,0.0471,1
fips35039,0.0219,1
fips35041,0.1711,1
fips35043,0.0238,1
fips35045,0.0213,1
fips35047,0.0213,1
fips35049,0.1416,1
fips35051,0.0887,1
fips35053,0.0598,1
fips35055,0.0225,1
fips35057,0.2471,1
fips35059,0.189,1
fips35061,0.0313,1
fips37163,0.0716,1
fips38021,0.2448,1
fips38035,0.2337,1
fips38043,0.2642,1
fips38049,0.1083,1
fips38053,0.0274,1
fips38073,0.2504,1
fips38081,0.2662,1
fips38105,0.0888,1
fips39085,0.0295,1
fips40007,0.3727,1
fips40009,0.2007,1
fips40015,0.3326,1
fips40025,0.3977,1
fips40039,0.3098,1
fips40045,0.3182,1
fips40051,0.1234,1
fips40057,0.182,1
fips40059,0.1409,1
fips40065,0.0421,1
fips40073,0.1664,1
fips40093,0.1779,1
fips40101,0.049,1
fips40139,0.4486,1
fips40141,0.1379,1
fips40149,0.2836,1
fips41001,0.0621,1
fips41003,0.0515,1
fips41005,0.1029,1
fips41011,0.0403,1
fips41013,0.0628,1
fips41017,0.038,1
fips41019,0.0297,1
fips41021,0.8535,1
fips41023,0.0291,1
fips41025,0.2368,1
fips41027,0.0233,1
fips41029,0.0234,1
fips41031,0.0334,1
fips41033,0.0421,1
fips41035,0.1156,1
fips41037,0.1119,1
fips41039,0.0744,1
fips41043,0.0978,1
fips41045,0.0341,1
fips41047,0.0868,1
fips41049,0.1446,1
fips41051,0.0836,1
fips41053,0.0471,1
fips41059,0.1856,1
fips41061,0.1559,1
fips41063,0.0525,1
fips41065,0.2225,1
fips41067,0.0425,1
fips41069,0.0343,1
fips41071,0.0512,1
fips45017,0.3315,1
fips45075,0.2578,1
fips45085,0.2877,1
fips46007,0.3832,1
fips46027,0.2175,1
fips46065,0.0467,1
fips46115,0.16,1
fips46119,0.0327,1
fips46121,0.3221,1
fips46125,0.1931,1
fips46135,0.2308,1
fips48003,0.3196,1
fips48013,0.8565,1
fips48017,0.2788,1
fips48039,0.0452,1
fips48041,0.167,1
fips48045,0.1262,1
fips48051,0.1376,1
fips48061,0.0216,1
fips48065,0.5881,1
fips48069,0.4262,1
fips48071,0.0214,1
fips48075,0.2367,1
fips48079,0.2878,1
fips48087,0.1932,1
fips48089,0.1404,1
fips48093,0.203,1
fips48107,0.3108,1
fips48109,1.0911,1
fips48111,0.512,1
fips48115,0.2449,1
fips48117,0.3883,1
fips48129,0.2728,1
fips48141,0.0833,1
fips48147,0.0512,1
fips48153,0.3646,1
fips48157,0.1782,1
fips48163,1.094,1
fips48165,0.2902,1
fips48173,0.2888,1
fips48179,0.468,1
fips48189,0.322,1
fips48191,0.197,1
fips48195,0.5383,1
fips48197,0.2104,1
fips48205,0.593,1
fips48207,0.2285,1
fips48215,0.0214,1
fips48219,0.2546,1
fips48229,0.3613,1
fips48233,0.4686,1
fips48239,0.4103,1
fips48245,0.0219,1
fips48275,0.1827,1
fips48279,0.3114,1
fips48291,0.0343,1
fips48295,0.4096,1
fips48303,0.2488,1
fips48305,0.1966,1
fips48317,0.2251,1
fips48321,0.2597,1
fips48323,0.0217,1
fips48325,0.188,1
fips48335,0.4632,1
fips48341,0.5986,1
fips48353,0.3229,1
fips48357,0.5534,1
fips48369,0.4662,1
fips48371,0.8629,1
fips48383,0.3238,1
fips48389,0.8783,1
fips48395,0.1393,1
fips48421,0.5274,1
fips48437,0.224,1
fips48445,0.252,1
fips48451,0.1749,1
fips48463,0.4185,1
fips48481,0.3099,1
fips48483,0.223,1
fips48487,0.156,1
fips48489,0.0217,1
fips48493,0.7662,1
fips48501,0.2874,1
fips48507,0.5907,1
fips49001,0.301,1
fips49003,0.0652,1
fips49005,0.073,1
fips49007,0.0225,1
fips49009,0.0236,1
fips49011,0.04,1
fips49013,0.0214,1
fips49015,0.0216,1
fips49017,0.0296,1
fips49019,0.0337,1
fips49021,0.4093,1
fips49023,0.2695,1
fips49025,0.0551,1
fips49027,0.2699,1
fips49029,0.0225,1
fips49031,0.0387,1
fips49033,0.0248,1
fips49035,0.0345,1
fips49037,0.0531,1
fips49039,0.0399,1
fips49041,0.1708,1
fips49043,0.0223,1
fips49045,0.1348,1
fips49047,0.0236,1
fips49049,0.0812,1
fips49051,0.0285,1
fips49053,0.0831,1
fips49055,0.0311,1
fips49057,0.031,1
fips51001,0.0555,1
fips53001,0.1136,1
fips53005,0.0571,1
fips53007,0.0331,1
fips53017,0.0605,1
fips53021,0.0727,1
fips53025,0.0701,1
fips53037,0.0458,1
fips53039,0.1612,1
fips53043,0.176,1
fips53047,0.1093,1
fips53057,0.1736,1
fips53071,0.1097,1
fips53073,0.1914,1
fips53077,0.0633,1
fips55001,0.2883,1
fips55033,0.3422,1
fips55053,0.069,1
fips55057,0.1758,1
fips55067,0.3403,1
fips55081,0.0555,1
fips55085,0.0306,1
fips55097,0.2753,1
fips55137,0.3407,1
fips55141,0.0391,1
fips56001,0.0213,1
fips56003,0.0229,1
fips56007,0.0223,1
fips56009,0.0277,1
fips56011,0.0383,1
fips56013,0.0213,1
fips56015,0.0928,1
fips56017,0.0306,1
fips56019,0.0222,1
fips56021,0.2476,1
fips56023,0.027,1
fips56025,0.0213,1
fips56027,0.3106,1
fips56029,0.0213,1
fips56031,0.0731,1
fips56033,0.0213,1
fips56035,0.052,1
fips56037,0.0552,1
fips56039,0.0213,1
fips56041,0.0519,1
fips56043,0.0301,1
fips56045,0.0263,1
