node,electricity,blue_water
fips20075,0.4723,1
fips20079,0.5076,1
fips20081,0.5216,1
fips20083,0.5111,1
fips20089,0.0448,1
fips20093,0.4035,1
fips20095,0.5181,1
fips20097,0.5235,1
fips20101,0.5158,1
fips20113,0.4839,1
fips20119,0.5226,1
fips20123,0.0481,1
fips20129,0.5235,1
fips20137,0.5034,1
fips20145,0.5132,1
fips20147,0.1839,1
fips20151,0.5235,1
fips20153,0.5209,1
fips20155,0.5216,1
fips20157,0.4486,1
fips20159,0.5219,1
fips20165,0.4862,1
fips20171,0.5121,1
fips20173,0.511,1
fips20175,0.5524,1
fips20179,0.5228,1
fips20181,0.5233,1
fips20185,0.5226,1
fips20187,0.5199,1
fips20189,0.495,1
fips20193,0.5234,1
fips20199,0.5229,1
fips20203,0.5206,1
fips22001,0.224,1
fips22003,0.2378,1
fips22009,0.276,1
fips22019,0.2394,1
fips22023,0.1436,1
fips22025,0.2091,1
fips22029,0.2587,1
fips22035,0.2704,1
fips22039,0.2731,1
fips22041,0.242,1
fips22053,0.2242,1
fips22065,0.29,1
fips22067,0.2214,1
fips22069,0.0645,1
fips22073,0.1196,1
fips22077,0.2964,1
fips22079,0.103,1
fips22083,0.229,1
fips22097,0.2588,1
fips22107,0.2785,1
fips22113,0.1439,1
fips22123,0.2685,1
fips24011,0.3079,1
fips24019,0.3641,1
fips24035,0.3215,1
fips25023,0.2683,1
fips26005,0.1488,1
fips26009,0.2535,1
fips26021,0.1954,1
fips26023,0.1504,1
fips26027,0.2512,1
fips26077,0.1975,1
fips26107,0.2447,1
fips26117,0.2362,1
fips26149,0.2155,1
fips26159,0.2413,1
fips27037,0.385,1
fips27057,0.2132,1
fips27097,0.2202,1
fips27111,0.2275,1
fips27121,0.1885,1
fips27141,0.2327,1
fips27145,0.1846,1
fips27151,0.2756,1
fips27159,0.4256,1
fips28011,0.2929,1
fips28015,0.3334,1
fips28027,0.3082,1
fips28033,0.3117,1
fips28051,0.3255,1
fips28053,0.3116,1
fips28055,0.3087,1
fips28083,0.3054,1
fips28103,0.0282,1
fips28107,0.317,1
fips28119,0.2956,1
fips28125,0.3014,1
fips28133,0.2968,1
fips28135,0.3114,1
fips28143,0.3052,1
fips28151,0.2951,1
fips28163,0.3286,1
fips29005,0.0765,1
fips29007,0.0356,1
fips29011,0.0756,1
fips29023,0.0787,1
fips29031,0.079,1
fips29069,0.0765,1
fips29087,0.0539,1
fips29133,0.079,1
fips29143,0.0765,1
fips29155,0.079,1
fips29181,0.0765,1
fips29201,0.0765,1
fips29207,0.0785,1
fips30001,0.0245,1
fips30003,0.025,1
fips30005,0.0261,1
fips30007,0.0253,1
fips30009,0.0241,1
fips30011,0.0298,1
fips30013,0.0253,1
fips30015,0.0266,1
fips30017,0.025,1
fips30021,0.0243,1
fips30023,0.0252,1
fips30027,0.0271,1
fips30029,0.0832,1
fips30031,0.029,1
fips30035,0.0246,1
fips30037,0.024,1
fips30039,0.0246,1
fips30041,0.0393,1
fips30043,0.0261,1
fips30045,0.0257,1
fips30047,0.0256,1
fips30049,0.0309,1
fips30051,0.0243,1
fips30053,0.0309,1
fips30055,0.0241,1
fips30057,0.0243,1
fips30059,0.0246,1
fips30063,0.036,1
fips30065,0.0243,1
fips30067,0.0247,1
fips30069,0.0249,1
fips30071,0.0253,1
fips30073,0.0257,1
fips30075,0.0265,1
fips30077,0.025,1
fips30079,0.0271,1
fips30081,0.0264,1
fips30083,0.0243,1
fips30085,0.0281,1
fips30087,0.0252,1
fips30089,0.0287,1
fips30091,0.1454,1
fips30093,0.0271,1
fips30095,0.0263,1
fips30097,0.0241,1
fips30099,0.0242,1
fips30101,0.0284,1
fips30103,0.0252,1
fips30105,0.0273,1
fips30107,0.0253,1
fips30111,0.0253,1
fips31001,0.2942,1
fips31003,0.4135,1
fips31005,0.4385,1
fips31007,0.2227,1
fips31009,0.3776,1
fips31011,0.3946,1
fips31013,0.4408,1
fips31015,0.1762,1
fips31017,0.2252,1
fips31019,0.3051,1
fips31021,0.218,1
fips31023,0.3105,1
fips31027,0.2921,1
fips31029,0.4339,1
fips31031,0.407,1
fips31033,0.3514,1
fips31035,0.2849,1
fips31037,0.2339,1
fips31039,0.2658,1
fips31041,0.4204,1
fips31043,0.2273,1
fips31045,0.1199,1
fips31047,0.2751,1
fips31049,0.2297,1
fips31051,0.2576,1
fips31053,0.19,1
fips31055,0.1763,1
fips31057,0.3536,1
fips31059,0.3423,1
fips31061,0.2916,1
fips31063,0.4012,1
fips31065,0.1736,1
fips31067,0.2282,1
fips31069,0.2965,1
fips31071,0.2986,1
fips31073,0.3288,1
fips31077,0.4183,1
fips31079,0.1927,1
fips31081,0.2906,1
fips31083,0.2934,1
fips31085,0.4945,1
fips31087,0.2122,1
fips31089,0.3381,1
fips31093,0.1661,1
fips31095,0.3065,1
fips31097,0.2838,1
fips31099,0.2642,1
fips31101,0.329,1
fips31103,0.3073,1
fips31105,0.34,1
fips31107,0.3001,1
fips31111,0.3611,1
fips31113,0.4276,1
fips31115,0.2818,1
fips31117,0.4468,1
fips31119,0.3491,1
fips31121,0.1487,1
fips31123,0.1763,1
fips31125,0.1788,1
fips31127,0.1391,1
fips31129,0.2272,1
fips31135,0.5533,1
fips31137,0.267,1
fips31139,0.3416,1
fips31141,0.281,1
fips31143,0.2962,1
fips31145,0.2194,1
fips31149,0.3724,1
fips31151,0.2635,1
fips31155,0.2623,1
fips31157,0.0574,1
fips31159,0.2731,1
fips31161,0.3615,1
fips31163,0.4039,1
fips31165,0.1404,1
fips31167,0.2506,1
fips31169,0.2902,1
fips31175,0.2983,1
fips31177,0.1849,1
fips31179,0.3502,1
fips31181,0.2392,1
fips31183,0.4029,1
fips31185,0.3116,1
fips32001,0.0327,1
fips32003,0.3971,1
fips32005,0.0697,1
fips32007,0.0483,1
fips32009,0.5576,1
fips32011,0.5422,1
fips32013,0.5507,1
fips32015,0.5216,1
fips32017,0.392,1
fips32019,0.0584,1
fips32021,0.6126,1
fips32023,0.5148,1
fips32027,0.178,1
fips32031,0.1393,1
fips32033,0.4032,1
fips34001,0.3509,1
fips34005,0.111,1
fips34011,0.3308,1
fips35001,0.0378,1
fips35003,0.0263,1
fips35005,0.1844,1
fips35007,0.0386,1
fips35009,0.4122,1
fips35011,0.078,1
fips35013,0.0831,1
fips35015,0.1372,1
fips35017,0.0382,1
fips35019,0.0336,1
fips35023,0.2838,1
fips35025,0.2439,1
fips35027,0.0645,1
fips35029,0.0714,1
fips35035,0.2103,1
fips35037,0.053,1
fips35039,0.0246,1
fips35041,0.1925,1
fips35043,0.0268,1
fips35045,0.024,1
fips35047,0.024,1
fips35049,0.1593,1
fips35051,0.0998,1
fips35053,0.0672,1
fips35055,0.0253,1
fips35057,0.278,1
fips35059,0.2126,1
fips35061,0.0352,1
fips37163,0.0806,1
fips38021,0.2754,1
fips38035,0.2629,1
fips38043,0.2972,1
fips38049,0.1219,1
fips38053,0.0308,1
fips38073,0.2817,1
fips38081,0.2995,1
fips38105,0.0999,1
fips39085,0.0332,1
fips40007,0.4193,1
fips40009,0.2258,1
fips40015,0.3742,1
fips40025,0.4474,1
fips40039,0.3485,1
fips40045,0.3579,1
fips40051,0.1388,1
fips40057,0.2048,1
fips40059,0.1585,1
fips40065,0.0474,1
fips40073,0.1872,1
fips40093,0.2001,1
fips40101,0.0551,1
fips40139,0.5047,1
fips40141,0.1552,1
fips40149,0.3191,1
fips41001,0.0698,1
fips41003,0.058,1
fips41005,0.1158,1
fips41011,0.0454,1
fips41013,0.0706,1
fips41017,0.0428,1
fips41019,0.0334,1
fips41021,0.9602,1
fips41023,0.0328,1
fips41025,0.2664,1
fips41027,0.0262,1
fips41029,0.0263,1
fips41031,0.0376,1
fips41033,0.0474,1
fips41035,0.13,1
fips41037,0.1259,1
fips41039,0.0837,1
fips41043,0.11,1
fips41045,0.0384,1
fips41047,0.0976,1
fips41049,0.1627,1
fips41051,0.0941,1
fips41053,0.053,1
fips41059,0.2088,1
fips41061,0.1754,1
fips41063,0.059,1
fips41065,0.2503,1
fips41067,0.0478,1
fips41069,0.0386,1
fips41071,0.0576,1
fips45017,0.373,1
fips45075,0.29,1
fips45085,0.3236,1
fips46007,0.4311,1
fips46027,0.2447,1
fips46065,0.0526,1
fips46115,0.18,1
fips46119,0.0368,1
fips46121,0.3623,1
fips46125,0.2173,1
fips46135,0.2597,1
fips48003,0.3596,1
fips48013,0.9636,1
fips48017,0.3137,1
fips48039,0.0509,1
fips48041,0.1879,1
