state,diesel,electric,natural_gas,LP_gas,total,diesel_percentage,electric_percentage,STUSPS,node
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01001
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01003
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01005
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01007
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01009
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01011
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01013
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01015
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01017
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01019
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01021
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01023
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01025
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01027
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01029
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01031
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01033
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01035
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01037
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01039
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01041
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01043
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01045
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01047
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01049
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01051
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01053
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01055
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01057
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01059
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01061
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01063
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01065
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01067
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01069
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01071
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01073
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01075
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01077
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01079
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01081
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01083
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01085
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01087
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01089
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01091
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01093
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01095
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01097
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01099
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01101
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01103
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01105
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01107
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01109
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01111
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01113
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01115
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01117
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01119
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01121
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01123
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01125
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01127
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01129
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01131
AL,650.0,1265.0,0.0,25.0,1940.0,0.3479381443298969,0.6520618556701031,AL,fips01133
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02013
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02016
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02020
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02050
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02060
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02063
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02066
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02068
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02070
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02090
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02100
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02105
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02110
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02122
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02130
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02150
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02158
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02164
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02170
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02180
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02185
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02188
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02195
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02198
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02220
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02230
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02240
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02275
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02282
AK,8.0,291.0,0.0,0.0,299.0,0.026755852842809364,0.9732441471571907,AK,fips02290
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04001
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04003
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04005
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04007
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04009
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04011
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04012
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04013
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04015
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04017
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04019
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04021
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04023
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04025
AZ,320.0,3944.0,124.0,0.0,4388.0,0.07292616226071102,0.927073837739289,AZ,fips04027
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05001
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05003
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05005
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05007
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05009
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05011
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05013
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05015
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05017
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05019
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05021
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05023
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05025
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05027
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05029
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05031
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05033
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05035
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05037
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05039
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05041
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05043
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05045
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05047
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05049
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05051
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05053
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05055
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05057
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05059
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05061
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05063
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05065
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05067
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05069
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05071
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05073
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05075
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05077
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05079
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05081
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05083
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05085
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05087
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05089
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05091
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05093
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05095
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05097
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05099
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05101
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05103
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05105
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05107
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05109
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05111
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05113
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05115
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05117
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05119
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05121
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05123
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05125
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05127
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05129
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05131
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05133
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05135
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05137
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05139
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05141
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05143
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05145
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05147
AR,22155.0,21194.0,889.0,791.0,45029.0,0.5095827133624997,0.4904172866375003,AR,fips05149
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06001
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06003
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06005
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06007
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06009
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06011
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06013
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06015
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06017
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06019
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06021
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06023
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06025
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06027
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06029
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06031
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06033
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06035
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06037
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06039
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06041
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06043
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06045
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06047
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06049
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06051
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06053
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06055
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06057
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06059
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06061
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06063
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06065
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06067
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06069
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06071
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06073
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06075
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06077
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06079
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06081
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06083
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06085
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06087
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06089
CA,8043.0,84856.0,809.0,598.0,94306.0,0.09162725595402202,0.908372744045978,CA,fips06091
