node,price_import
fips01003,0.056
fips01083,0.056
fips01097,0.056
fips04003,0.0646
fips04009,0.0646
fips04012,0.0646
fips04013,0.0646
fips04015,0.0646
fips04019,0.0646
fips04021,0.0646
fips04025,0.0646
fips04027,0.0646
fips05001,0.056
fips05003,0.056
fips05017,0.056
fips05021,0.056
fips05031,0.056
fips05035,0.056
fips05037,0.056
fips05041,0.056
fips05043,0.056
fips05055,0.056
fips05063,0.056
fips05067,0.056
fips05069,0.056
fips05073,0.056
fips05075,0.056
fips05077,0.056
fips05079,0.056
fips05081,0.056
fips05085,0.056
fips05093,0.056
fips05095,0.056
fips05107,0.056
fips05111,0.056
fips05117,0.056
fips05119,0.056
fips05121,0.056
fips05123,0.056
fips05145,0.056
fips05147,0.056
fips06001,0.0709
fips06005,0.0709
fips06007,0.0709
fips06009,0.0709
fips06011,0.0709
fips06013,0.0709
fips06015,0.0709
fips06017,0.0709
fips06019,0.0709
fips06021,0.0709
fips06023,0.0709
fips06025,0.0709
fips06027,0.0709
fips06029,0.0709
fips06031,0.0709
fips06033,0.0709
fips06035,0.0709
fips06037,0.0709
fips06039,0.0709
fips06041,0.0709
fips06043,0.0709
fips06045,0.0709
fips06047,0.0709
fips06049,0.0709
fips06051,0.0709
fips06053,0.0709
fips06055,0.0709
fips06057,0.0709
fips06061,0.0709
fips06063,0.0709
fips06065,0.0709
fips06067,0.0709
fips06069,0.0709
fips06071,0.0709
fips06073,0.0709
fips06077,0.0709
fips06079,0.0709
fips06081,0.0709
fips06083,0.0709
fips06087,0.0709
fips06089,0.0709
fips06091,0.0709
fips06093,0.0709
fips06095,0.0709
fips06097,0.0709
fips06099,0.0709
fips06101,0.0709
fips06103,0.0709
fips06105,0.0709
fips06107,0.0709
fips06111,0.0709
fips06113,0.0709
fips06115,0.0709
fips08001,0.0602
fips08003,0.0602
fips08007,0.0602
fips08009,0.0602
fips08011,0.0602
fips08013,0.0602
fips08015,0.0602
fips08017,0.0602
fips08021,0.0602
fips08023,0.0602
fips08025,0.0602
fips08027,0.0602
fips08029,0.0602
fips08037,0.0602
fips08039,0.0602
fips08043,0.0602
fips08045,0.0602
fips08049,0.0602
fips08051,0.0602
fips08053,0.0602
fips08055,0.0602
fips08057,0.0602
fips08059,0.0602
fips08063,0.0602
fips08065,0.0602
fips08067,0.0602
fips08069,0.0602
fips08071,0.0602
fips08075,0.0602
fips08077,0.0602
fips08081,0.0602
fips08083,0.0602
fips08085,0.0602
fips08087,0.0602
fips08089,0.0602
fips08091,0.0602
fips08093,0.0602
fips08095,0.0602
fips08097,0.0602
fips08099,0.0602
fips08101,0.0602
fips08103,0.0602
fips08105,0.0602
fips08107,0.0602
fips08109,0.0602
fips08113,0.0602
fips08115,0.0602
fips08117,0.0602
fips08121,0.0602
fips08123,0.0602
fips08125,0.0602
fips10001,0.0656
fips10005,0.0656
fips12001,0.059
fips12009,0.059
fips12011,0.059
fips12015,0.059
fips12021,0.059
fips12027,0.059
fips12035,0.059
fips12041,0.059
fips12043,0.059
fips12047,0.059
fips12049,0.059
fips12051,0.059
fips12055,0.059
fips12057,0.059
fips12061,0.059
fips12063,0.059
fips12069,0.059
fips12071,0.059
fips12075,0.059
fips12079,0.059
fips12081,0.059
fips12083,0.059
fips12085,0.059
fips12086,0.059
fips12093,0.059
fips12095,0.059
fips12097,0.059
fips12099,0.059
fips12101,0.059
fips12105,0.059
fips12107,0.059
fips12109,0.059
fips12111,0.059
fips12121,0.059
fips12127,0.059
fips13007,0.059
fips13027,0.059
fips13033,0.059
fips13037,0.059
fips13069,0.059
fips13071,0.059
fips13081,0.059
fips13087,0.059
fips13093,0.059
fips13095,0.059
fips13099,0.059
fips13155,0.059
fips13163,0.059
fips13177,0.059
fips13193,0.059
fips13201,0.059
fips13205,0.059
fips13235,0.059
fips13243,0.059
fips13251,0.059
fips13253,0.059
fips13261,0.059
fips13273,0.059
fips13277,0.059
fips13287,0.059
fips13315,0.059
fips13321,0.059
fips16001,0.0602
fips16003,0.0602
fips16005,0.0602
fips16007,0.0602
fips16011,0.0602
fips16013,0.0602
fips16019,0.0602
fips16021,0.0602
fips16023,0.0602
fips16025,0.0602
fips16027,0.0602
fips16029,0.0602
fips16031,0.0602
fips16033,0.0602
fips16035,0.0602
fips16037,0.0602
fips16039,0.0602
fips16041,0.0602
fips16043,0.0602
fips16045,0.0602
fips16047,0.0602
fips16049,0.0602
fips16051,0.0602
fips16053,0.0602
fips16055,0.0602
fips16057,0.0602
fips16059,0.0602
fips16061,0.0602
fips16063,0.0602
fips16065,0.0602
fips16067,0.0602
fips16069,0.0602
fips16071,0.0602
fips16073,0.0602
fips16075,0.0602
fips16077,0.0602
fips16081,0.0602
fips16083,0.0602
fips16085,0.0602
fips16087,0.0602
fips17017,0.0585
fips17101,0.0585
fips17125,0.0585
fips17179,0.0585
fips17193,0.0585
fips17195,0.0585
fips18073,0.0585
fips18091,0.0585
fips20009,0.0585
fips20023,0.0585
fips20027,0.0585
fips20029,0.0585
fips20039,0.0585
fips20047,0.0585
fips20055,0.0585
fips20057,0.0585
fips20063,0.0585
fips20065,0.0585
fips20067,0.0585
fips20069,0.0585
fips20071,0.0585
fips20075,0.0585
fips20079,0.0585
fips20081,0.0585
fips20083,0.0585
fips20089,0.0585
fips20093,0.0585
fips20095,0.0585
fips20097,0.0585
fips20101,0.0585
fips20113,0.0585
fips20119,0.0585
fips20123,0.0585
fips20129,0.0585
fips20137,0.0585
fips20145,0.0585
fips20147,0.0585
fips20151,0.0585
fips20153,0.0585
fips20155,0.0585
fips20157,0.0585
fips20159,0.0585
fips20165,0.0585
fips20171,0.0585
fips20173,0.0585
fips20175,0.0585
fips20179,0.0585
fips20181,0.0585
fips20185,0.0585
fips20187,0.0585
fips20189,0.0585
fips20193,0.0585
fips20199,0.0585
fips20203,0.0585
fips22001,0.056
fips22003,0.056
fips22009,0.056
fips22019,0.056
fips22023,0.056
fips22025,0.056
fips22029,0.056
fips22035,0.056
fips22039,0.056
fips22041,0.056
fips22053,0.056
fips22065,0.056
fips22067,0.056
fips22069,0.056
fips22073,0.056
fips22077,0.056
fips22079,0.056
fips22083,0.056
fips22097,0.056
fips22107,0.056
fips22113,0.056
fips22123,0.056
fips24011,0.0656
fips24019,0.0656
fips24035,0.0656
fips25023,0.0635
fips26005,0.0585
fips26009,0.0585
fips26021,0.0585
fips26023,0.0585
fips26027,0.0585
fips26077,0.0585
fips26107,0.0585
fips26117,0.0585
fips26149,0.0585
fips26159,0.0585
fips27037,0.0585
fips27057,0.0585
fips27097,0.0585
fips27111,0.0585
fips27121,0.0585
fips27141,0.0585
fips27145,0.0585
fips27151,0.0585
fips27159,0.0585
fips28011,0.056
fips28015,0.056
fips28027,0.056
fips28033,0.056
fips28051,0.056
fips28053,0.056
fips28055,0.056
fips28083,0.056
fips28103,0.056
fips28107,0.056
fips28119,0.056
fips28125,0.056
fips28133,0.056
fips28135,0.056
fips28143,0.056
fips28151,0.056
fips28163,0.056
fips29005,0.0585
fips29007,0.0585
fips29011,0.0585
fips29023,0.0585
fips29031,0.0585
fips29069,0.0585
fips29087,0.0585
fips29133,0.0585
fips29143,0.0585
fips29155,0.0585
fips29181,0.0585
fips29201,0.0585
fips29207,0.0585
fips30001,0.0602
fips30003,0.0602
fips30005,0.0602
fips30007,0.0602
fips30009,0.0602
fips30011,0.0602
fips30013,0.0602
fips30015,0.0602
fips30017,0.0602
fips30021,0.0602
fips30023,0.0602
fips30027,0.0602
fips30029,0.0602
fips30031,0.0602
fips30035,0.0602
fips30037,0.0602
fips30039,0.0602
fips30041,0.0602
fips30043,0.0602
fips30045,0.0602
fips30047,0.0602
fips30049,0.0602
fips30051,0.0602
fips30053,0.0602
fips30055,0.0602
fips30057,0.0602
fips30059,0.0602
fips30063,0.0602
fips30065,0.0602
fips30067,0.0602
fips30069,0.0602
fips30071,0.0602
fips30073,0.0602
fips30075,0.0602
fips30077,0.0602
fips30079,0.0602
fips30081,0.0602
fips30083,0.0602
fips30085,0.0602
fips30087,0.0602
fips30089,0.0602
fips30091,0.0602
