node,capacity_factor_mean
fips27159,0.176285429
fips28011,0.18179133
fips28015,0.179518964
fips28027,0.182944028
fips28033,0.18093011
fips28051,0.180058856
fips28053,0.186122735
fips28055,0.183074962
fips28083,0.180878342
fips28103,0.176048388
fips28107,0.182385609
fips28119,0.181295613
fips28125,0.182910283
fips28133,0.181403953
fips28135,0.179778719
fips28143,0.179979947
fips28151,0.182631412
fips28163,0.182762184
fips29005,0.186064938
fips29007,0.176276082
fips29011,0.178478447
fips29023,0.174393526
fips29031,0.175466109
fips29069,0.178687551
fips29087,0.187171769
fips29133,0.177788749
fips29143,0.178501084
fips29155,0.179423709
fips29201,0.178622439
fips29207,0.176179441
fips30011,0.196771428
fips30017,0.190749694
fips30021,0.191046937
fips30055,0.192569047
fips30079,0.18984215
fips30083,0.187644563
fips30085,0.187565456
fips30087,0.187830126
fips30091,0.186513924
fips30105,0.192854723
fips31001,0.194587777
fips31003,0.187052322
fips31009,0.194485577
fips31011,0.188295466
fips31013,0.20255826
fips31015,0.187390713
fips31017,0.191284808
fips31019,0.198380357
fips31021,0.184839982
fips31023,0.18952359
fips31027,0.181933602
fips31029,0.203972634
fips31031,0.197563708
fips31033,0.208928618
fips31035,0.194819042
fips31037,0.187235509
fips31039,0.186621623
fips31041,0.194544428
fips31043,0.181854554
fips31045,0.196403547
fips31047,0.197410057
fips31049,0.205721081
fips31051,0.181626924
fips31053,0.187656216
fips31055,0.189672729
fips31057,0.206043181
fips31059,0.19484741
fips31061,0.202062891
fips31063,0.202824171
fips31065,0.204408614
fips31067,0.194011487
fips31071,0.191330891
fips31073,0.20254642
fips31077,0.191474436
fips31079,0.192918631
fips31081,0.192093499
fips31083,0.202770467
fips31085,0.206419789
fips31087,0.206480494
fips31089,0.187017799
fips31093,0.193777142
fips31095,0.197006249
fips31097,0.19238872
fips31099,0.198192984
fips31101,0.195827476
fips31103,0.190679556
fips31107,0.186945163
fips31111,0.201897597
fips31113,0.197057242
fips31115,0.195501872
fips31117,0.202715301
fips31119,0.18724912
fips31121,0.190032837
fips31123,0.202719858
fips31125,0.188037084
fips31127,0.190792047
fips31129,0.19831944
fips31135,0.202441455
fips31137,0.201369311
fips31139,0.186490144
fips31141,0.187913794
fips31143,0.188783085
fips31145,0.205056958
fips31149,0.188667923
fips31151,0.194014369
fips31155,0.189745007
fips31157,0.202155877
fips31159,0.190943749
