node,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total,filled_by_mean,neighbors_used
fips01001,270372.929000691,169167.0174888336,283739.9606796759,8438.624591361313,154446.5084606592,248535.27514239578,300493.9259828179,6994.430941728342,13286.933924968844,28586.26809500992,87296.95615894315,26246.97473930329,1597605.805206388,True,"fips01021, fips01047, fips01051, fips01085, fips01101"
fips01003,77778.44531660028,93014.61505510489,559685.2208024407,1046219.6101297687,1059478.382879928,1305712.316714191,1357618.2219857587,979214.0180901834,817911.0153202185,767201.1193185264,254472.49149317044,79183.67340830075,8397489.130514191,False,
fips01005,26795.21505757312,29192.08802715046,115414.21915373139,774198.8982903542,1145414.7088413087,1031546.503863341,535486.267191067,937070.3816404294,547646.4396836588,219784.8759392938,91016.9231030147,35836.791141894944,5489403.311932817,False,
fips01007,119663.88840630034,76993.8632645737,105604.83549158648,3292.3250125416307,71362.08538382429,108232.47826497936,159717.86177866775,2676.0819823674337,5803.412829816676,14137.533886350358,38441.00739563221,14825.295754056897,720750.6694506971,True,"fips01021, fips01065, fips01073, fips01105, fips01117, fips01125"
fips01009,76538.70707546329,43176.57012677218,92363.16833875903,2486.0554936743692,51431.18677447862,118818.496493974,142587.49146905186,2141.763924283601,4156.092570425387,9586.437956298681,26762.618111825122,11929.155909867215,581977.7442448733,True,"fips01043, fips01055, fips01073, fips01095, fips01115, fips01127"
fips01011,690959.6629155328,428949.0941914595,493048.4777619111,12532.66434757558,266088.10266175575,392403.36484852654,644220.2722572361,13492.145844628249,17097.9527120197,43524.76506125713,118639.5523593992,61773.28242486446,3182729.337386166,True,"fips01005, fips01087, fips01101, fips01109, fips01113"
fips01013,0.0,11.988305878120627,2406.1067977413186,15169.978112120647,22461.774836472232,20710.35300359712,6113.032660900849,0.0,0.0,0.0,0.0,0.0,66873.23371671028,False,
fips01015,5613.612563438733,3994.4553985992825,23015.574015752656,86965.79944480085,127383.29374533199,232719.17181876543,173233.89212478264,196907.78830829004,102890.20076487274,56213.68576779087,21743.176596873847,10653.813917748179,1041334.4644670472,False,
fips01017,3470.7613797611953,3528.2148008644745,12280.733384342086,79652.30313952724,106937.69761183516,106538.78530995685,84112.00310377704,108175.71200502187,86138.86730533789,58496.53167102419,18517.094316227798,4122.967090125869,671971.6711178017,False,
fips01019,4357.01699420315,5306.543991188345,37438.66673607566,185492.37978633726,262239.6776806649,443917.9119454762,325278.4101438839,196951.942255877,65594.8597020292,40385.847977510195,15587.345310423987,3928.957152600575,1586479.5596762705,False,
fips01021,3746.119383603855,3721.1006760283267,14223.344376813022,111166.24721547274,176029.47433659458,197380.59354625922,126375.81518388788,104739.36650105307,62948.80152460332,59824.10799710396,21436.751045975943,8814.739556540975,890406.4613439369,False,
fips01023,0.0,0.0,430.92967152197707,3914.9508432211164,6804.757301119041,11787.030875906234,6754.836835937284,3678.07695903987,639.4698116056202,0.0,0.0,0.0,34010.05229835114,False,
fips01025,0.0,0.0,688.8391802590905,5147.80747048778,7047.657587443246,7013.574747428764,2068.0680710614542,0.0,0.0,0.0,0.0,0.0,21965.947056680336,False,
fips01027,0.0,0.0,0.0,0.0,2730.652075153921,15769.274700814858,16043.666126122698,14387.842217455616,7931.601688137744,750.6832600774941,0.0,0.0,57613.72006776233,False,
fips01029,128272.07574588861,88869.16688004062,132384.38050590068,4166.3770997951115,72681.16158495541,157626.7489944931,209503.07040378376,3358.495808407379,7066.995176431528,15942.006867888453,39557.27476668218,19820.498444749705,879248.2522790165,True,"fips01015, fips01019, fips01027, fips01111, fips01121, fips13045, fips13143, fips13233"
fips01031,1328400.0868900246,743876.8993064475,1336627.618090254,31502.912336155074,654176.3993041462,1136722.4835071526,1145932.099397919,30542.85573898349,47083.31242111001,110701.33806299692,315311.1897544842,123286.03625888303,7004163.231068556,True,"fips01039, fips01041, fips01045, fips01061, fips01109"
fips01033,3929.1253036246208,5260.808606611235,27178.206026754793,123618.83174300978,221839.96917101328,363244.2152204786,324066.158167176,202706.46153543927,72475.94591050233,61240.969883543636,17381.672930293986,4942.028836358816,1427884.3933348062,False,
fips01035,5348.4558222814885,6500.065710124227,27635.931101456456,124174.9549197001,173873.50327224442,147501.58094139377,179297.57093973435,152582.10687492232,87466.20799730437,66031.54339581297,19660.88917869721,7595.861923150383,997668.672076822,False,
fips01037,137132.21726242764,90075.84803054137,99613.81275533821,4474.100695994119,68260.55428367757,120978.57232268622,176345.4876488695,3468.37124249947,7807.8487258815585,17639.19514670119,41181.50224953113,15759.048740431286,782736.5591045792,True,"fips01021, fips01027, fips01051, fips01117, fips01121, fips01123"
fips01039,21142.637977710994,24878.01955208134,103823.15519647469,590005.1694683455,1076086.877887763,901485.3029972689,965749.531008572,1021597.2948691037,424383.4675235941,196651.88208351829,68183.61289219689,30100.38781028937,5424087.339266919,False,
fips01041,17142.411961621132,13886.101295707742,60691.951997716285,388745.87949063425,655950.7085049056,664891.01800971,828688.4170332402,790351.4741645474,357437.14240388083,162852.7813570239,49534.35031904191,23443.389136759157,4013615.6256747884,False,
fips01043,3503.3275521339747,3351.071055075165,18176.188435447628,60801.73318845152,99535.72975234427,175539.3245418638,151467.50322610248,79670.12429402707,32560.499896140485,23968.972049869568,9848.514940830406,4118.715792984186,662541.7047252707,False,
fips01045,71055.45594290971,67297.56706829595,250107.55778747133,1382470.1566194557,2580132.9127567937,2126698.0382458083,2066306.0181550547,2557100.5638572928,1310977.1740475195,699226.3231790682,262716.9429004101,110587.36711331674,13484676.077673396,False,
fips01047,7980.362430295222,5695.738477183107,24123.471455452847,150870.53713144845,211952.56784789526,249713.40683141176,239415.58869926666,307419.0257880584,158094.77857946302,88775.33072976937,26240.065932537036,12351.123805866808,1482631.9977086477,False,
fips01049,171295.47445568367,112091.60866402702,245688.11308208172,5682.841195689495,111640.06106332145,269713.18190810445,316468.17153114383,4978.500482008823,7013.14303571432,23176.357796490112,58173.56770171995,23284.61203216867,1349205.6329481534,True,"fips01019, fips01055, fips01071, fips01095, fips13055, fips13083, fips13295"
fips01051,4130.571913295891,3932.5232851206088,13739.988593262144,104231.8940640078,150300.35895830576,165966.83348646085,105168.96360153216,53373.51843037776,29461.20934388344,24135.169305162504,11451.494825669186,4908.133171179215,670800.6589782573,False,
fips01053,4652.698314517555,6147.510126337353,39155.576382989064,187453.87006820264,235043.0505096584,200672.32231573094,172903.8327975262,144019.76260485454,84720.52067709038,60534.3830769242,19906.278331361213,7443.418767821751,1162653.2239730142,False,
fips01055,133874.81898486827,71530.87891447758,121254.8837544343,44455.29350083779,66053.06647564267,219348.89377880233,251105.72628953378,28654.487791154945,11076.38101192123,26725.063760250985,39867.74133455765,73329.18554775958,1087276.4211442412,True,"fips01009, fips01015, fips01019, fips01049, fips01095, fips01115"
fips01057,0.0,0.0,0.0,1458.7470824176708,7726.385916552042,22112.76397705637,18750.61742087966,12088.376253513386,1551.655997549813,0.0,0.0,0.0,63688.546647968935,False,
fips01059,149439.56476066276,80802.64729909934,280053.2137544199,4827.284703889525,129173.43917872343,238997.53355577987,265770.38366531086,4478.550001264173,6583.75579526143,18511.866028765366,66376.14427789219,17899.709163207877,1262914.0921842766,True,"fips01033, fips01079, fips01093, fips01133, fips28057, fips28141"
fips01061,2899993.6914217738,1644995.5827525456,1340272.5204084548,324294.7077839383,774328.6373987485,1701549.8536546417,2164448.2596612577,255129.9431783601,150639.85379261363,429852.697064887,931503.6511252132,680898.9358597547,13297908.33410219,True,"fips01031, fips01039, fips01045, fips01069, fips12059, fips12063, fips12131"
fips01063,170451.0427799201,107191.74405167061,178264.90850903335,3886.4574408113585,104669.26811892266,161207.29520517628,234788.7402128317,3305.798309256189,5652.25744502461,13680.255144363295,47429.874598829876,23761.40837789684,1054289.0501937368,True,"fips01065, fips01091, fips01107, fips01119, fips01125"
fips01065,4348.868233980416,4132.045939688784,20516.777014120355,141314.2817937677,209767.08679913514,237878.71728220308,147020.1764412176,154388.16730665058,102868.03355663495,58598.59080005545,19415.832296695306,7194.935048733973,1107443.5125128834,False,
fips01067,2681326.5864613513,1535915.1784716996,2289089.479793307,76011.78725261474,1200053.6484086371,1931378.4187637381,2288795.199395694,74047.08724208428,108526.8668258913,283069.7667334383,629719.1492599717,273762.07144311763,13371695.240051543,True,"fips01005, fips01045, fips01069, fips13061, fips13099"
fips01069,130184.69075736137,125651.60663080642,455764.43738815025,2451076.480505289,4318432.137785952,3708141.0560779325,3192342.9709450924,3373097.4938821984,1741537.3314947335,970146.2486615531,495475.43419689016,179156.44222246218,21141006.330548417,False,
fips01071,12936.834634289828,9308.113961365256,26865.253790322633,133922.37631634067,221480.52743586263,473045.81376530783,484595.3892001237,561117.7023239306,249901.66994436632,132003.94518269366,56738.28054977644,16905.640558323277,2378821.547662703,False,
fips01073,0.0,0.0,0.0,3742.375544355309,18094.572635103366,53869.58296366269,48089.60733198397,31497.672673950903,4813.585041856131,0.0,0.0,0.0,160107.39619091238,False,
fips01075,125126.40752492026,73347.81179652052,188077.48145501525,3423.4647690177644,88359.93409932566,179127.56770982384,222725.7767603419,2867.124578083278,4496.418134215078,10630.69798417134,37797.494010707036,19574.770427680804,955554.9492498229,True,"fips01057, fips01093, fips01107, fips28087, fips28095"
fips01077,131346.15767169787,70120.47309548386,250814.4846044835,4040.6868582517272,115479.97186112114,213299.83368284476,231035.82008740713,3773.6984287545833,5530.623673739293,15738.360408754326,58975.67178791084,14973.620871581557,1115129.4030320307,True,"fips01033, fips01079, fips01083, fips28141, fips47055, fips47071, fips47099, fips47181"
fips01079,20314.995845885744,17381.381965916265,62663.51920273455,294326.62043007044,543182.54579817,946729.339396492,851277.6787641707,1220925.8024148666,594644.8391089948,287587.1264448493,77048.48952223198,28241.713206076936,4944324.052100459,False,
fips01081,300276.2971420477,183176.2750207758,104463.69029501843,4329.486969530897,57347.97007001025,171089.24807313853,297071.13208128227,4991.608623859227,5539.759561358921,15935.12744182343,42718.001233568575,26839.826763260662,1213778.423275675,True,"fips01017, fips01087, fips01113, fips01123, fips13145, fips13215"
fips01083,397186.8826540891,207164.33867503374,991154.2993994752,50454.07288985433,449571.1855476935,758738.3242517391,753402.1496464751,30805.371228098942,26365.351692564895,73700.54770263156,212129.86476237015,106596.15261177233,4057268.541061798,True,"fips01077, fips01079, fips01089, fips01103, fips47055, fips47103"
fips01085,19709.357084934425,15221.90208173639,52956.094574105795,337610.8356978935,555119.9471499546,628157.278909829,612047.0373441068,743018.4049562691,406062.250421926,205467.67872311524,62860.55880264011,31287.60079382224,3669518.946540333,False,
fips01087,5865.5326355797,7425.290833389968,41352.952938523376,311086.2342354795,499298.6296924409,513338.71479169384,297918.0936887199,165313.32893788337,61027.06256368943,50322.59090402629,19416.375751755433,7374.424776616157,1979739.2317497982,False,
fips01089,50155.13804183372,35719.62985099563,112906.60663987127,528317.2839606366,917181.3414927148,1809029.220387564,1912114.001153176,2711755.640118046,1195231.1411376477,545193.972195877,158778.02950038348,62246.07269260108,10038628.077171348,False,
