node,jan_hourly,feb_hourly,mar_hourly,apr_hourly,may_hourly,jun_hourly,jul_hourly,aug_hourly,sep_hourly,oct_hourly,nov_hourly,dec_hourly,unit
fips01001,1584.0072701486595,1097.2695305681689,1662.319383118244,51.08649071210084,904.8405591305903,1504.604795216182,1760.47419078365,40.977584195280556,80.43761387905487,167.47555554572057,528.4860218303762,153.7705677862386,m3/h
fips01003,1364.0933933630117,1806.0913104608446,9815.867480403105,18960.428271030552,18581.336469436756,23663.162575006412,23810.170539944655,17173.644540310455,14822.837373638245,13455.321380919238,4611.753952220632,1388.7385549917133,m3/h
fips01005,29.69923942798604,35.82258344261556,127.92263546591498,886.7089021552762,1269.5530007549041,1181.455398583809,593.5214487189269,1038.6286344564237,627.2328394854201,243.60482418768441,104.24390442875276,39.72072768093188,m3/h
fips01007,13.874700858343411,9.88371676567705,12.24459209168724,0.3944606246325201,8.274238790956689,12.967568760464097,18.518849616427648,0.310284392996508,0.6953195207427658,1.639208420854531,4.605700752817965,1.7189525299862995,m3/h
fips01009,119.47045426056852,74.61586802206426,144.17110113314664,4.009873306960044,80.27973664421758,191.64782068485815,222.5670256081923,3.34311250777698,6.703552958414613,14.96361960034882,43.16665829223415,18.620404367319992,m3/h
fips01011,1024.124752885815,703.8977644672515,730.785279589283,19.19481876544086,394.3897553070893,600.9984199946841,954.8486873250771,19.997752793158973,26.186937945943175,64.51142035511587,181.7063509238745,91.55895921820792,m3/h
fips01013,0.0,0.005528832980904302,1.0022749887962128,6.5297625103446455,9.356556884217168,8.914560431095271,2.5464122155620084,0.0,0.0,0.0,0.0,0.0,m3/h
fips01015,17.548608685580646,13.82488390755388,71.9485531842706,280.9242221677282,398.2105194748005,751.7489949391024,541.5432129708073,615.5497347057066,332.3645594369488,175.7285461305282,70.23663338838553,33.30468737176791,m3/h
fips01017,1.0071546194731615,1.1335223110766657,3.5636553497116013,23.88417088461538,31.03146092774442,31.946226962514704,24.407841165081376,31.39071118399743,25.829201987091594,16.974676634117593,5.552450180387212,1.1964133791997527,m3/h
fips01019,17.10850676276466,23.06950538726402,147.00876399959662,752.6435845547584,1029.72499419535,1801.2166800574753,1277.2564089449359,773.3625185550968,266.15406191547555,158.5813307963891,63.24634716339128,15.427663033059396,m3/h
fips01021,3.867511091823177,4.25329041110888,14.684246951901807,118.59416953574912,181.73364881650974,210.56919847910245,130.47097994289862,108.13340959349209,67.15492361283881,61.76268760944919,22.86911496539455,9.100378155502959,m3/h
fips01023,0.0,0.0,0.35295831365805236,3.313475547468597,5.573521204452053,9.97612489878376,5.532633225804985,3.0125747349496272,0.541224569337434,0.0,0.0,0.0,m3/h
fips01025,0.0,0.0,1.7471179337009064,13.49171365726334,17.875128643196636,18.381639707507503,5.245286445098409,0.0,0.0,0.0,0.0,0.0,m3/h
fips01027,0.0,0.0,0.0,0.0,2.2199650747051067,13.247439096334556,13.04317704708468,11.697025598297333,6.663173309712181,0.6102903532460724,0.0,0.0,m3/h
fips01029,47.832638859778754,36.689938986873145,49.3661167217624,1.605429477483328,27.102794850607445,60.73829209748423,78.1236652511269,1.2523826108020235,2.72312421600858,5.944772100846452,15.24259889064339,7.391061059982161,m3/h
fips01031,1567.397445307366,971.7509499958549,1577.1052219867681,38.4097413845145,771.8716877309097,1385.9422313588425,1352.1009692923205,36.037933548883785,57.40605294913049,130.6180240308982,384.4413216429457,145.46688168821416,m3/h
fips01033,11.005492529331473,16.314349756817098,76.12624191754658,357.79863410733515,621.3744624449783,1051.363147675333,907.7103444443225,567.781446424603,209.77220126399706,171.53615231374775,50.308992127417525,13.842638560830157,m3/h
fips01035,0.7466832333489926,1.004683791809236,3.8581764675851997,17.913582022923205,24.274002428172853,21.27870044658507,25.031241623641705,21.30156903193214,12.617947735169246,9.218482486180108,2.8362961852810815,1.0604374289158935,m3/h
fips01037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m3/h
fips01039,29.12607151242358,37.943920812469244,143.02664814513184,839.883392790244,1482.4159308777448,1283.281188051538,1330.4153404555682,1407.3511497772624,604.1178026778757,270.9073856656628,97.06064809601192,41.466256426393564,m3/h
fips01041,4.801236318237239,4.305911964924517,16.998565009902475,112.5090331900783,183.71827556694473,192.4296810838394,232.09854793305627,221.3611602863562,103.44780341023225,45.61170797480641,14.336002407012828,6.56601017394591,m3/h
fips01043,7.591674927651967,8.039779871130131,39.387614195998665,136.1486242493938,215.69290702096376,393.07164919078303,328.22852830167545,172.64434343784458,72.9102121479336,51.940516964149076,22.053018718031186,8.925214943340382,m3/h
fips01045,18.665255293276548,19.572194829877056,65.69968983988906,375.2603747090603,677.7641332128603,577.2750311490626,542.789133235396,671.7138635114259,355.8541811644442,183.67678676782486,71.31239539832195,29.049724781722734,m3/h
fips01047,36.81761269417765,29.09287976691622,111.29427223934445,719.2467117425751,977.8487657322522,1190.4613727532799,1104.5501372488475,1418.2857890412172,753.6869146152658,409.5673313279911,125.09454461239272,56.982235655858446,m3/h
fips01049,613.3490127356845,444.36367076571497,879.7229586983286,21.02653645453999,399.743901305781,997.939913570409,1133.1615221458278,17.82626403439652,25.948658887952423,82.98640824258231,215.24244648938426,83.3740286907517,m3/h
fips01051,31.229450387332808,32.91767239877591,103.88205340635623,814.320226642434,1136.3553768856714,1296.629507440664,795.1366057831383,403.53386427035275,230.16811586805477,182.475475122289,89.46574314486779,37.10825149185188,m3/h
