node,sprinkler_percentage,drip_percentage,surface_percentage
fips13069,0.986,0.014,0.0
fips13071,0.948,0.052,0.0
fips13081,0.957,0.043,0.0
fips13087,0.969,0.031,0.0
fips13093,0.983,0.017,0.0
fips13095,0.875,0.125,0.0
fips13099,0.988,0.012,0.0
fips13155,0.972,0.028,0.0
fips13163,0.979,0.021,0.0
fips13177,0.98,0.02,0.0
fips13193,0.975,0.025,0.0
fips13201,0.999,0.001,0.0
fips13205,0.929,0.071,0.0
fips13235,0.992,0.008,0.0
fips13243,0.995,0.005,0.0
fips13251,0.968,0.032,0.0
fips13253,0.99,0.01,0.0
fips13261,0.991,0.009,0.0
fips13273,0.992,0.008,0.0
fips13277,0.942,0.058,0.0
fips13287,0.973,0.027,0.0
fips13315,0.955,0.045,0.0
fips13321,0.987,0.013,0.0
fips16001,0.35,0.0,0.65
fips16003,0.29,0.0,0.71
fips16005,0.71,0.0,0.29
fips16007,0.57,0.0,0.43
fips16011,0.9,0.0,0.1
fips16013,0.62,0.0,0.38
fips16019,0.85,0.0,0.15
fips16021,0.37,0.0,0.63
fips16023,0.71,0.0,0.29
fips16025,0.6,0.0,0.4
fips16027,0.34,0.01,0.65
fips16029,0.69,0.0,0.31
fips16031,0.76,0.0,0.24
fips16033,0.66,0.0,0.34
fips16035,0.58,0.0,0.42
fips16037,0.45,0.0,0.55
fips16039,0.9,0.0,0.1
fips16041,0.8,0.0,0.2
fips16043,0.81,0.0,0.19
fips16045,0.1,0.0,0.9
fips16047,0.6,0.0,0.4
fips16049,0.49,0.0,0.51
fips16051,0.6,0.0,0.4
fips16053,0.8,0.0,0.2
fips16055,0.8,0.0,0.2
fips16057,0.36,0.0,0.64
fips16059,0.41,0.0,0.59
fips16061,0.58,0.0,0.42
fips16063,0.6,0.0,0.4
fips16065,0.84,0.0,0.16
fips16067,0.83,0.0,0.17
fips16069,0.52,0.0,0.48
fips16071,0.68,0.0,0.32
fips16073,0.56,0.0,0.44
fips16075,0.14,0.01,0.85
fips16077,0.96,0.0,0.04
fips16081,0.75,0.0,0.25
fips16083,0.5,0.0,0.5
fips16085,0.249,0.0,0.751
fips16087,0.39,0.01,0.6
fips17017,1.0,0.0,0.0
fips17101,1.0,0.0,0.0
fips17125,1.0,0.0,0.0
fips17179,1.0,0.0,0.0
fips17193,1.0,0.0,0.0
fips17195,1.0,0.0,0.0
fips18073,1.0,0.0,0.0
fips18091,1.0,0.0,0.0
fips20009,0.833,0.056,0.111
fips20023,0.99,0.008,0.002
fips20027,0.847,0.009,0.144
fips20029,0.895,0.0,0.105
fips20039,0.952,0.012,0.036
fips20047,0.983,0.008,0.008
fips20055,0.963,0.009,0.029
fips20057,0.981,0.009,0.011
fips20063,0.948,0.008,0.044
fips20065,1.0,0.0,0.0
fips20067,0.99,0.001,0.009
fips20069,0.98,0.005,0.015
fips20071,0.97,0.0,0.03
fips20075,0.962,0.0,0.038
fips20079,0.851,0.073,0.076
fips20081,0.967,0.02,0.014
fips20083,0.861,0.029,0.11
fips20089,0.993,0.0,0.007
fips20093,0.98,0.001,0.019
fips20095,0.986,0.007,0.007
fips20097,0.992,0.003,0.005
fips20101,0.898,0.038,0.064
fips20113,0.715,0.176,0.109
fips20119,0.98,0.009,0.011
fips20123,0.926,0.0,0.074
fips20129,0.992,0.001,0.007
fips20137,0.845,0.016,0.139
fips20145,0.877,0.06,0.063
fips20147,0.925,0.021,0.054
fips20151,0.991,0.006,0.003
fips20153,0.96,0.015,0.025
fips20155,0.969,0.01,0.021
fips20157,0.855,0.018,0.127
fips20159,0.984,0.002,0.014
fips20165,0.585,0.031,0.384
fips20171,0.863,0.012,0.125
fips20173,0.902,0.01,0.088
fips20175,0.996,0.003,0.001
fips20179,0.982,0.013,0.005
fips20181,0.99,0.003,0.007
fips20185,0.981,0.009,0.01
fips20187,0.947,0.023,0.03
fips20189,0.993,0.001,0.006
fips20193,0.99,0.004,0.006
fips20199,0.983,0.014,0.003
fips20203,0.96,0.0,0.04
fips22001,0.0,0.0,1.0
fips22003,0.0,0.0,1.0
fips22009,0.017,0.0,0.983
fips22019,0.016,0.0,0.984
fips22023,0.0,0.0,1.0
fips22025,0.282,0.0,0.718
fips22029,0.187,0.0,0.813
fips22035,0.225,0.0,0.775
fips22039,0.0,0.0,1.0
fips22041,0.095,0.0,0.905
fips22053,0.004,0.0,0.996
fips22065,0.332,0.0,0.668
fips22067,0.062,0.0,0.938
fips22069,0.361,0.0,0.639
fips22073,0.056,0.0,0.944
fips22077,0.0,0.0,1.0
fips22079,0.0,0.0,1.0
fips22083,0.086,0.0,0.914
fips22097,0.001,0.0,0.999
fips22107,0.196,0.0,0.804
fips22113,0.0,0.0,1.0
fips22123,0.176,0.0,0.824
fips24011,0.909,0.085,0.006
fips24019,0.909,0.085,0.006
fips24035,0.909,0.085,0.006
fips25023,0.134,0.006,0.86
fips26005,0.939,0.058,0.003
fips26009,0.939,0.058,0.003
fips26021,0.939,0.058,0.003
fips26023,0.939,0.058,0.003
fips26027,0.939,0.058,0.003
fips26077,0.939,0.058,0.003
fips26107,0.939,0.058,0.003
fips26117,0.939,0.058,0.003
fips26149,0.939,0.058,0.003
