Date,Week,Month,Year,Region,Diesel Price
03/18/2013,11,3,2013,Gulf Coast,3.989
03/18/2013,11,3,2013,Rocky Mountains,3.971
03/18/2013,11,3,2013,West Coast,4.162
03/18/2013,11,3,2013,California,4.212
03/18/2013,11,3,2013,West Coast exc California,4.105
03/25/2013,12,3,2013,US,4.006
03/25/2013,12,3,2013,East Coast,4.050
03/25/2013,12,3,2013,New England,4.171
03/25/2013,12,3,2013,Central Atlantic,4.109
03/25/2013,12,3,2013,Lower Atlantic,3.983
03/25/2013,12,3,2013,Midwest,3.979
03/25/2013,12,3,2013,Gulf Coast,3.935
03/25/2013,12,3,2013,Rocky Mountains,3.935
03/25/2013,12,3,2013,West Coast,4.101
03/25/2013,12,3,2013,California,4.147
03/25/2013,12,3,2013,West Coast exc California,4.046
04/01/2013,13,3,2013,US,3.993
04/01/2013,13,3,2013,East Coast,4.025
04/01/2013,13,3,2013,New England,4.148
04/01/2013,13,3,2013,Central Atlantic,4.083
04/01/2013,13,3,2013,Lower Atlantic,3.958
04/01/2013,13,3,2013,Midwest,3.970
04/01/2013,13,3,2013,Gulf Coast,3.915
04/01/2013,13,3,2013,Rocky Mountains,3.922
04/01/2013,13,3,2013,West Coast,4.116
04/01/2013,13,3,2013,California,4.200
04/01/2013,13,3,2013,West Coast exc California,4.016
04/08/2013,14,4,2013,US,3.977
04/08/2013,14,4,2013,East Coast,4.009
04/08/2013,14,4,2013,New England,4.134
04/08/2013,14,4,2013,Central Atlantic,4.062
04/08/2013,14,4,2013,Lower Atlantic,3.946
04/08/2013,14,4,2013,Midwest,3.956
04/08/2013,14,4,2013,Gulf Coast,3.888
04/08/2013,14,4,2013,Rocky Mountains,3.899
04/08/2013,14,4,2013,West Coast,4.117
04/08/2013,14,4,2013,California,4.196
04/08/2013,14,4,2013,West Coast exc California,4.023
04/15/2013,15,4,2013,US,3.942
04/15/2013,15,4,2013,East Coast,3.977
04/15/2013,15,4,2013,New England,4.105
04/15/2013,15,4,2013,Central Atlantic,4.032
04/15/2013,15,4,2013,Lower Atlantic,3.911
04/15/2013,15,4,2013,Midwest,3.923
04/15/2013,15,4,2013,Gulf Coast,3.852
04/15/2013,15,4,2013,Rocky Mountains,3.882
04/15/2013,15,4,2013,West Coast,4.066
04/15/2013,15,4,2013,California,4.147
04/15/2013,15,4,2013,West Coast exc California,3.970
04/22/2013,16,4,2013,US,3.887
04/22/2013,16,4,2013,East Coast,3.924
04/22/2013,16,4,2013,New England,4.027
04/22/2013,16,4,2013,Central Atlantic,3.982
04/22/2013,16,4,2013,Lower Atlantic,3.862
04/22/2013,16,4,2013,Midwest,3.868
04/22/2013,16,4,2013,Gulf Coast,3.802
04/22/2013,16,4,2013,Rocky Mountains,3.846
04/22/2013,16,4,2013,West Coast,3.990
04/22/2013,16,4,2013,California,4.079
04/22/2013,16,4,2013,West Coast exc California,3.885
04/29/2013,17,4,2013,US,3.851
04/29/2013,17,4,2013,East Coast,3.886
04/29/2013,17,4,2013,New England,3.993
04/29/2013,17,4,2013,Central Atlantic,3.934
04/29/2013,17,4,2013,Lower Atlantic,3.831
04/29/2013,17,4,2013,Midwest,3.839
04/29/2013,17,4,2013,Gulf Coast,3.757
04/29/2013,17,4,2013,Rocky Mountains,3.810
04/29/2013,17,4,2013,West Coast,3.949
04/29/2013,17,4,2013,California,4.047
04/29/2013,17,4,2013,West Coast exc California,3.833
05/06/2013,18,5,2013,US,3.845
05/06/2013,18,5,2013,East Coast,3.863
05/06/2013,18,5,2013,New England,3.986
05/06/2013,18,5,2013,Central Atlantic,3.911
05/06/2013,18,5,2013,Lower Atlantic,3.804
05/06/2013,18,5,2013,Midwest,3.868
05/06/2013,18,5,2013,Gulf Coast,3.735
05/06/2013,18,5,2013,Rocky Mountains,3.804
05/06/2013,18,5,2013,West Coast,3.923
05/06/2013,18,5,2013,California,4.001
05/06/2013,18,5,2013,West Coast exc California,3.830
05/13/2013,19,5,2013,US,3.866
05/13/2013,19,5,2013,East Coast,3.865
05/13/2013,19,5,2013,New England,3.995
05/13/2013,19,5,2013,Central Atlantic,3.910
05/13/2013,19,5,2013,Lower Atlantic,3.807
05/13/2013,19,5,2013,Midwest,3.909
05/13/2013,19,5,2013,Gulf Coast,3.739
05/13/2013,19,5,2013,Rocky Mountains,3.822
05/13/2013,19,5,2013,West Coast,3.969
05/13/2013,19,5,2013,California,4.042
05/13/2013,19,5,2013,West Coast exc California,3.883
05/20/2013,20,5,2013,US,3.890
05/20/2013,20,5,2013,East Coast,3.871
05/20/2013,20,5,2013,New England,3.991
05/20/2013,20,5,2013,Central Atlantic,3.925
05/20/2013,20,5,2013,Lower Atlantic,3.809
05/20/2013,20,5,2013,Midwest,3.934
05/20/2013,20,5,2013,Gulf Coast,3.775
05/20/2013,20,5,2013,Rocky Mountains,3.848
05/20/2013,20,5,2013,West Coast,4.008
05/20/2013,20,5,2013,California,4.072
05/20/2013,20,5,2013,West Coast exc California,3.932
05/27/2013,21,5,2013,US,3.880
05/27/2013,21,5,2013,East Coast,3.864
05/27/2013,21,5,2013,New England,3.991
05/27/2013,21,5,2013,Central Atlantic,3.928
05/27/2013,21,5,2013,Lower Atlantic,3.792
05/27/2013,21,5,2013,Midwest,3.916
05/27/2013,21,5,2013,Gulf Coast,3.775
05/27/2013,21,5,2013,Rocky Mountains,3.863
05/27/2013,21,5,2013,West Coast,3.986
05/27/2013,21,5,2013,California,4.044
05/27/2013,21,5,2013,West Coast exc California,3.917
06/03/2013,22,5,2013,US,3.869
06/03/2013,22,5,2013,East Coast,3.855
06/03/2013,22,5,2013,New England,3.984
06/03/2013,22,5,2013,Central Atlantic,3.920
06/03/2013,22,5,2013,Lower Atlantic,3.783
06/03/2013,22,5,2013,Midwest,3.900
06/03/2013,22,5,2013,Gulf Coast,3.770
06/03/2013,22,5,2013,Rocky Mountains,3.866
06/03/2013,22,5,2013,West Coast,3.968
06/03/2013,22,5,2013,California,4.025
06/03/2013,22,5,2013,West Coast exc California,3.899
06/10/2013,23,6,2013,US,3.849
06/10/2013,23,6,2013,East Coast,3.839
06/10/2013,23,6,2013,New England,3.978
06/10/2013,23,6,2013,Central Atlantic,3.907
06/10/2013,23,6,2013,Lower Atlantic,3.762
06/10/2013,23,6,2013,Midwest,3.877
06/10/2013,23,6,2013,Gulf Coast,3.748
06/10/2013,23,6,2013,Rocky Mountains,3.865
06/10/2013,23,6,2013,West Coast,3.945
06/10/2013,23,6,2013,California,4.008
06/10/2013,23,6,2013,West Coast exc California,3.870
06/17/2013,24,6,2013,US,3.841
06/17/2013,24,6,2013,East Coast,3.835
06/17/2013,24,6,2013,New England,3.980
06/17/2013,24,6,2013,Central Atlantic,3.910
06/17/2013,24,6,2013,Lower Atlantic,3.752
06/17/2013,24,6,2013,Midwest,3.859
06/17/2013,24,6,2013,Gulf Coast,3.741
06/17/2013,24,6,2013,Rocky Mountains,3.848
06/17/2013,24,6,2013,West Coast,3.954
06/17/2013,24,6,2013,California,4.022
06/17/2013,24,6,2013,West Coast exc California,3.874
06/24/2013,25,6,2013,US,3.838
06/24/2013,25,6,2013,East Coast,3.836
06/24/2013,25,6,2013,New England,3.984
06/24/2013,25,6,2013,Central Atlantic,3.902
06/24/2013,25,6,2013,Lower Atlantic,3.758
06/24/2013,25,6,2013,Midwest,3.847
06/24/2013,25,6,2013,Gulf Coast,3.740
06/24/2013,25,6,2013,Rocky Mountains,3.836
06/24/2013,25,6,2013,West Coast,3.963
06/24/2013,25,6,2013,California,4.035
06/24/2013,25,6,2013,West Coast exc California,3.879
07/01/2013,26,6,2013,US,3.817
