node,carbon_intensity_carrier_import
fips28053,395.08
fips28055,395.08
fips28083,395.08
fips28103,395.08
fips28107,395.08
fips28119,395.08
fips28125,395.08
fips28133,395.08
fips28135,395.08
fips28143,395.08
fips28151,395.08
fips28163,395.08
fips29005,706.24
fips29007,706.24
fips29011,706.24
fips29023,706.24
fips29031,706.24
fips29069,706.24
fips29087,706.24
fips29133,706.24
fips29143,706.24
fips29155,706.24
fips29181,706.24
fips29201,706.24
fips29207,706.24
fips30001,471.74
fips30003,471.74
fips30005,471.74
fips30007,471.74
fips30009,471.74
fips30011,471.74
fips30013,471.74
fips30015,471.74
fips30017,471.74
fips30021,471.74
fips30023,471.74
fips30027,471.74
fips30029,471.74
fips30031,471.74
fips30035,471.74
fips30037,471.74
fips30039,471.74
fips30041,471.74
fips30043,471.74
fips30045,471.74
fips30047,471.74
fips30049,471.74
fips30051,471.74
fips30053,471.74
fips30055,471.74
fips30057,471.74
fips30059,471.74
fips30063,471.74
fips30065,471.74
fips30067,471.74
fips30069,471.74
fips30071,471.74
fips30073,471.74
fips30075,471.74
fips30077,471.74
fips30079,471.74
fips30081,471.74
fips30083,471.74
fips30085,471.74
fips30087,471.74
fips30089,471.74
fips30091,471.74
fips30093,471.74
fips30095,471.74
fips30097,471.74
fips30099,471.74
fips30101,471.74
fips30103,471.74
fips30105,471.74
fips30107,471.74
fips30111,471.74
fips31001,517.09
fips31003,517.09
fips31005,517.09
fips31007,517.09
fips31009,517.09
fips31011,517.09
fips31013,517.09
fips31015,517.09
fips31017,517.09
fips31019,517.09
fips31021,517.09
fips31023,517.09
fips31027,517.09
fips31029,517.09
fips31031,517.09
fips31033,517.09
fips31035,517.09
fips31037,517.09
fips31039,517.09
fips31041,517.09
fips31043,517.09
fips31045,517.09
fips31047,517.09
fips31049,517.09
fips31051,517.09
fips31053,517.09
fips31055,517.09
fips31057,517.09
fips31059,517.09
fips31061,517.09
fips31063,517.09
fips31065,517.09
fips31067,517.09
fips31069,517.09
fips31071,517.09
fips31073,517.09
fips31077,517.09
fips31079,517.09
fips31081,517.09
fips31083,517.09
fips31085,517.09
fips31087,517.09
fips31089,517.09
fips31093,517.09
fips31095,517.09
fips31097,517.09
fips31099,517.09
fips31101,517.09
fips31103,517.09
fips31105,517.09
fips31107,517.09
fips31111,517.09
fips31113,517.09
fips31115,517.09
fips31117,517.09
fips31119,517.09
fips31121,517.09
fips31123,517.09
fips31125,517.09
fips31127,517.09
fips31129,517.09
fips31135,517.09
fips31137,517.09
fips31139,517.09
fips31141,517.09
fips31143,517.09
fips31145,517.09
fips31149,517.09
fips31151,517.09
fips31155,517.09
fips31157,517.09
fips31159,517.09
fips31161,517.09
fips31163,517.09
fips31165,517.09
fips31167,517.09
fips31169,517.09
fips31175,517.09
fips31177,517.09
fips31179,517.09
fips31181,517.09
fips31183,517.09
fips31185,517.09
fips32001,302.55
fips32003,302.55
fips32005,302.55
fips32007,302.55
fips32009,302.55
fips32011,302.55
fips32013,302.55
fips32015,302.55
fips32017,302.55
fips32019,302.55
fips32021,302.55
fips32023,302.55
fips32027,302.55
fips32031,302.55
fips32033,302.55
fips34001,211.37
fips34005,211.37
fips34011,211.37
fips35001,435.9
fips35003,435.9
fips35005,435.9
fips35007,435.9
fips35009,435.9
fips35011,435.9
fips35013,435.9
fips35015,435.9
fips35017,435.9
fips35019,435.9
fips35023,435.9
fips35025,435.9
fips35027,435.9
fips35029,435.9
fips35035,435.9
fips35037,435.9
fips35039,435.9
fips35041,435.9
fips35043,435.9
fips35045,435.9
fips35047,435.9
fips35049,435.9
fips35051,435.9
fips35053,435.9
fips35055,435.9
fips35057,435.9
fips35059,435.9
fips35061,435.9
fips37163,293.47
fips38021,606.91
fips38035,606.91
fips38043,606.91
fips38049,606.91
fips38053,606.91
fips38073,606.91
fips38081,606.91
fips38105,606.91
fips39085,509.84
fips40007,304.36
fips40009,304.36
fips40015,304.36
fips40025,304.36
fips40039,304.36
fips40045,304.36
fips40051,304.36
fips40057,304.36
fips40059,304.36
fips40065,304.36
fips40073,304.36
fips40093,304.36
fips40101,304.36
fips40139,304.36
fips40141,304.36
fips40149,304.36
fips41001,117.48
fips41003,117.48
fips41005,117.48
fips41011,117.48
fips41013,117.48
fips41017,117.48
fips41019,117.48
fips41021,117.48
fips41023,117.48
fips41025,117.48
fips41027,117.48
fips41029,117.48
fips41031,117.48
fips41033,117.48
fips41035,117.48
fips41037,117.48
fips41039,117.48
fips41043,117.48
fips41045,117.48
fips41047,117.48
fips41049,117.48
fips41051,117.48
fips41053,117.48
fips41059,117.48
fips41061,117.48
fips41063,117.48
fips41065,117.48
fips41067,117.48
fips41069,117.48
fips41071,117.48
fips45017,238.59
fips45075,238.59
fips45085,238.59
fips46007,128.37
fips46027,128.37
fips46065,128.37
fips46115,128.37
fips46119,128.37
fips46121,128.37
fips46125,128.37
fips46135,128.37
fips48003,362.87
fips48013,362.87
fips48017,362.87
fips48039,362.87
fips48041,362.87
