node,diesel,blue_water
fips20069,2.7865,1
fips20071,2.7812,1
fips20075,2.5188,1
fips20079,2.7072,1
fips20081,2.782,1
fips20083,2.7259,1
fips20089,0.239,1
fips20093,2.152,1
fips20095,2.763,1
fips20097,2.7921,1
fips20101,2.7508,1
fips20113,2.5806,1
fips20119,2.787,1
fips20123,0.2568,1
fips20129,2.7918,1
fips20137,2.6849,1
fips20145,2.7371,1
fips20147,0.981,1
fips20151,2.7919,1
fips20153,2.778,1
fips20155,2.7818,1
fips20157,2.3927,1
fips20159,2.7836,1
fips20165,2.5931,1
fips20171,2.7312,1
fips20173,2.7252,1
fips20175,2.9462,1
fips20179,2.7884,1
fips20181,2.7911,1
fips20185,2.7874,1
fips20187,2.7727,1
fips20189,2.6401,1
fips20193,2.7912,1
fips20199,2.7889,1
fips20203,2.7764,1
fips22001,1.1944,1
fips22003,1.2681,1
fips22009,1.4721,1
fips22019,1.2766,1
fips22023,0.7661,1
fips22025,1.1153,1
fips22029,1.3798,1
fips22035,1.4419,1
fips22039,1.4566,1
fips22041,1.2907,1
fips22053,1.1957,1
fips22065,1.5469,1
fips22067,1.1807,1
fips22069,0.344,1
fips22073,0.6377,1
fips22077,1.5809,1
fips22079,0.5491,1
fips22083,1.2215,1
fips22097,1.3805,1
fips22107,1.4854,1
fips22113,0.7677,1
fips22123,1.4322,1
fips24011,1.6423,1
fips24019,1.9418,1
fips24035,1.7144,1
fips25023,1.431,1
fips26005,0.7933,1
fips26009,1.3519,1
fips26021,1.0423,1
fips26023,0.8019,1
fips26027,1.3395,1
fips26077,1.0532,1
fips26107,1.3053,1
fips26117,1.2596,1
fips26149,1.1494,1
fips26159,1.287,1
fips27037,2.0533,1
fips27057,1.1373,1
fips27097,1.1746,1
fips27111,1.2135,1
fips27121,1.0053,1
fips27141,1.2411,1
fips27145,0.9846,1
fips27151,1.4701,1
fips27159,2.27,1
fips28011,1.5624,1
fips28015,1.778,1
fips28027,1.6436,1
fips28033,1.6625,1
fips28051,1.7359,1
fips28053,1.6621,1
fips28055,1.6462,1
fips28083,1.6285,1
fips28103,0.1506,1
fips28107,1.6907,1
fips28119,1.5766,1
fips28125,1.6075,1
fips28133,1.5831,1
fips28135,1.6607,1
fips28143,1.6276,1
fips28151,1.5739,1
fips28163,1.7527,1
fips29005,0.4081,1
fips29007,0.1897,1
fips29011,0.403,1
fips29023,0.4199,1
fips29031,0.4215,1
fips29069,0.408,1
fips29087,0.2875,1
fips29133,0.4213,1
fips29143,0.408,1
fips29155,0.4213,1
fips29181,0.4082,1
fips29201,0.408,1
fips29207,0.4188,1
fips30001,0.1305,1
fips30003,0.1331,1
fips30005,0.1393,1
fips30007,0.1348,1
fips30009,0.1284,1
fips30011,0.1591,1
fips30013,0.1347,1
fips30015,0.1417,1
fips30017,0.1334,1
fips30021,0.1299,1
fips30023,0.1343,1
fips30027,0.1446,1
fips30029,0.4436,1
fips30031,0.1545,1
fips30035,0.1311,1
fips30037,0.1278,1
fips30039,0.131,1
fips30041,0.2098,1
fips30043,0.139,1
fips30045,0.1373,1
fips30047,0.1367,1
fips30049,0.1647,1
fips30051,0.1295,1
fips30053,0.1648,1
fips30055,0.1284,1
fips30057,0.1295,1
fips30059,0.1313,1
fips30063,0.1921,1
fips30065,0.1296,1
fips30067,0.1317,1
fips30069,0.1326,1
fips30071,0.1351,1
fips30073,0.1371,1
fips30075,0.1416,1
fips30077,0.1336,1
fips30079,0.1447,1
fips30081,0.141,1
fips30083,0.1297,1
fips30085,0.1498,1
fips30087,0.1344,1
fips30089,0.1529,1
fips30091,0.7754,1
fips30093,0.1447,1
fips30095,0.14,1
fips30097,0.1286,1
fips30099,0.1289,1
fips30101,0.1515,1
fips30103,0.1346,1
fips30105,0.1454,1
fips30107,0.1351,1
fips30111,0.1349,1
fips31001,1.5693,1
fips31003,2.2051,1
fips31005,2.3386,1
fips31007,1.1877,1
fips31009,2.014,1
fips31011,2.1046,1
fips31013,2.3508,1
fips31015,0.9395,1
fips31017,1.2013,1
fips31019,1.627,1
fips31021,1.1625,1
fips31023,1.6559,1
fips31027,1.5579,1
fips31029,2.3143,1
fips31031,2.1709,1
fips31033,1.8742,1
fips31035,1.5195,1
fips31037,1.2473,1
fips31039,1.4176,1
fips31041,2.2421,1
fips31043,1.2122,1
fips31045,0.6393,1
fips31047,1.4671,1
fips31049,1.2249,1
fips31051,1.3736,1
fips31053,1.0132,1
fips31055,0.9404,1
fips31057,1.8858,1
fips31059,1.8257,1
fips31061,1.5551,1
fips31063,2.1398,1
fips31065,0.9261,1
fips31067,1.2172,1
fips31069,1.5813,1
fips31071,1.5926,1
fips31073,1.7534,1
fips31077,2.2309,1
fips31079,1.028,1
fips31081,1.5499,1
fips31083,1.5648,1
fips31085,2.6372,1
fips31087,1.1316,1
fips31089,1.8034,1
fips31093,0.8858,1
fips31095,1.6349,1
fips31097,1.5134,1
fips31099,1.4091,1
fips31101,1.7547,1
fips31103,1.6387,1
fips31105,1.8135,1
fips31107,1.6006,1
fips31111,1.9261,1
fips31113,2.2805,1
fips31115,1.503,1
fips31117,2.3829,1
fips31119,1.8617,1
fips31121,0.7929,1
fips31123,0.9402,1
fips31125,0.9536,1
fips31127,0.7421,1
fips31129,1.2115,1
fips31135,2.9508,1
fips31137,1.4242,1
fips31139,1.8218,1
fips31141,1.4989,1
fips31143,1.5798,1
fips31145,1.1703,1
fips31149,1.9859,1
fips31151,1.4055,1
fips31155,1.3987,1
fips31157,0.306,1
fips31159,1.4564,1
fips31161,1.9282,1
fips31163,2.1539,1
fips31165,0.7489,1
fips31167,1.3364,1
fips31169,1.5477,1
fips31175,1.591,1
fips31177,0.9863,1
fips31179,1.8678,1
fips31181,1.2758,1
fips31183,2.1487,1
fips31185,1.6619,1
fips32001,0.1745,1
fips32003,2.1178,1
fips32005,0.3718,1
fips32007,0.2578,1
fips32009,2.9737,1
fips32011,2.8919,1
fips32013,2.9372,1
fips32015,2.7817,1
fips32017,2.0906,1
fips32019,0.3112,1
fips32021,3.2671,1
fips32023,2.7455,1
fips32027,0.9494,1
fips32031,0.7429,1
fips32033,2.1506,1
fips34001,1.8716,1
fips34005,0.5918,1
fips34011,1.7644,1
fips35001,0.2015,1
fips35003,0.1405,1
fips35005,0.9837,1
fips35007,0.2059,1
fips35009,2.1982,1
fips35011,0.4158,1
fips35013,0.443,1
fips35015,0.7315,1
fips35017,0.2035,1
fips35019,0.179,1
fips35023,1.5138,1
fips35025,1.301,1
fips35027,0.3438,1
fips35029,0.3807,1
fips35035,1.1213,1
fips35037,0.2827,1
fips35039,0.1312,1
fips35041,1.0264,1
fips35043,0.1427,1
fips35045,0.1278,1
fips35047,0.1278,1
fips35049,0.8496,1
fips35051,0.5322,1
fips35053,0.3586,1
fips35055,0.1351,1
fips35057,1.4828,1
fips35059,1.134,1
fips35061,0.188,1
fips37163,0.4297,1
fips38021,1.4686,1
fips38035,1.4021,1
fips38043,1.5849,1
fips38049,0.6499,1
fips38053,0.1645,1
fips38073,1.5024,1
fips38081,1.5973,1
fips38105,0.5327,1
fips39085,0.1771,1
fips40007,2.2364,1
fips40009,1.2044,1
fips40015,1.9956,1
fips40025,2.3861,1
fips40039,1.8589,1
fips40045,1.909,1
fips40051,0.7402,1
fips40057,1.0921,1
fips40059,0.8453,1
fips40065,0.2526,1
fips40073,0.9985,1
fips40093,1.0674,1
fips40101,0.294,1
fips40139,2.6919,1
fips40141,0.8275,1
fips40149,1.7017,1
fips41001,0.3724,1
fips41003,0.3092,1
fips41005,0.6175,1
fips41011,0.242,1
fips41013,0.3767,1
fips41017,0.2282,1
fips41019,0.1783,1
fips41021,5.121,1
fips41023,0.1749,1
fips41025,1.4206,1
fips41027,0.1399,1
fips41029,0.1401,1
fips41031,0.2003,1
fips41033,0.2526,1
fips41035,0.6935,1
fips41037,0.6715,1
fips41039,0.4465,1
fips41043,0.5866,1
fips41045,0.2047,1
fips41047,0.5207,1
fips41049,0.8676,1
fips41051,0.5018,1
fips41053,0.2824,1
fips41059,1.1135,1
fips41061,0.9356,1
fips41063,0.3147,1
fips41065,1.3348,1
fips41067,0.2548,1
fips41069,0.2058,1
fips41071,0.307,1
fips45017,1.9891,1
fips45075,1.5466,1
fips45085,1.726,1
fips46007,2.2993,1
fips46027,1.305,1
fips46065,0.2805,1
fips46115,0.9601,1
fips46119,0.196,1
fips46121,1.9324,1
fips46125,1.1587,1
fips46135,1.385,1
fips48003,1.9179,1
fips48013,5.139,1
fips48017,1.6729,1
fips48039,0.2712,1
fips48041,1.0019,1
fips48045,0.7574,1
fips48051,0.8258,1
fips48061,0.1296,1
fips48065,3.5289,1
fips48069,2.5573,1
fips48071,0.1287,1
fips48075,1.4201,1
fips48079,1.7269,1
fips48087,1.1594,1
fips48089,0.8425,1
fips48093,1.2178,1
fips48107,1.8648,1
fips48109,6.5466,1
fips48111,3.0719,1
fips48115,1.4692,1
fips48117,2.3297,1
fips48129,1.6368,1
fips48141,0.4996,1
fips48147,0.3073,1
fips48153,2.1876,1
fips48157,1.0691,1
fips48163,6.5642,1
fips48165,1.7413,1
fips48173,1.7331,1
fips48179,2.8081,1
fips48189,1.9323,1
fips48191,1.182,1
fips48195,3.2299,1
fips48197,1.2624,1
fips48205,3.5583,1
fips48207,1.3709,1
fips48215,0.1284,1
fips48219,1.5275,1
fips48229,2.1681,1
fips48233,2.8114,1
fips48239,2.4617,1
fips48245,0.1315,1
fips48275,1.0963,1
fips48279,1.8685,1
fips48291,0.2061,1
fips48295,2.4578,1
fips48303,1.4929,1
fips48305,1.1796,1
fips48317,1.3508,1
fips48321,1.5584,1
fips48323,0.1301,1
fips48325,1.1279,1
fips48335,2.779,1
fips48341,3.5914,1
fips48353,1.9375,1
fips48357,3.3205,1
fips48369,2.7971,1
fips48371,5.1772,1
fips48383,1.9425,1
fips48389,5.2698,1
fips48395,0.836,1
fips48421,3.1644,1
fips48437,1.3442,1
fips48445,1.5121,1
fips48451,1.0496,1
fips48463,2.5113,1
fips48481,1.8597,1
fips48483,1.3378,1
fips48487,0.9363,1
fips48489,0.1303,1
fips48493,4.5971,1
fips48501,1.7247,1
fips48507,3.5439,1
fips49001,1.8061,1
fips49003,0.3912,1
fips49005,0.4382,1
fips49007,0.1351,1
fips49009,0.1417,1
fips49011,0.2399,1
fips49013,0.1287,1
fips49015,0.1299,1
fips49017,0.1779,1
fips49019,0.2023,1
fips49021,2.4556,1
fips49023,1.6167,1
fips49025,0.3306,1
fips49027,1.6193,1
fips49029,0.1353,1
fips49031,0.2321,1
fips49033,0.1491,1
fips49035,0.2067,1
fips49037,0.3189,1
fips49039,0.2393,1
fips49041,1.0248,1
fips49043,0.1335,1
fips49045,0.8086,1
fips49047,0.1417,1
fips49049,0.4871,1
fips49051,0.1712,1
fips49053,0.4988,1
fips49055,0.1867,1
fips49057,0.186,1
fips51001,0.333,1
fips53001,0.6816,1
fips53005,0.3424,1
fips53007,0.1986,1
fips53017,0.363,1
fips53021,0.4364,1
fips53025,0.4205,1
fips53037,0.2749,1
fips53039,0.9672,1
fips53043,1.0559,1
fips53047,0.6557,1
fips53057,1.0418,1
fips53071,0.6584,1
fips53073,1.1482,1
fips53077,0.3795,1
fips55001,1.73,1
fips55033,2.0532,1
fips55053,0.4141,1
fips55057,1.0546,1
fips55067,2.0419,1
fips55081,0.3332,1
fips55085,0.1834,1
fips55097,1.6517,1
fips55137,2.0441,1
fips55141,0.2347,1
fips56001,0.1278,1
fips56003,0.1374,1
fips56007,0.1337,1
fips56009,0.1664,1
fips56011,0.2296,1
fips56013,0.1278,1
