node,diesel,blue_water
fips20067,0.8373,1
fips20069,0.836,1
fips20071,0.8344,1
fips20075,0.7556,1
fips20079,0.8122,1
fips20081,0.8346,1
fips20083,0.8178,1
fips20089,0.0717,1
fips20093,0.6456,1
fips20095,0.8289,1
fips20097,0.8376,1
fips20101,0.8252,1
fips20113,0.7742,1
fips20119,0.8361,1
fips20123,0.077,1
fips20129,0.8376,1
fips20137,0.8055,1
fips20145,0.8211,1
fips20147,0.2943,1
fips20151,0.8376,1
fips20153,0.8334,1
fips20155,0.8345,1
fips20157,0.7178,1
fips20159,0.8351,1
fips20165,0.7779,1
fips20171,0.8194,1
fips20173,0.8176,1
fips20175,0.8839,1
fips20179,0.8365,1
fips20181,0.8373,1
fips20185,0.8362,1
fips20187,0.8318,1
fips20189,0.792,1
fips20193,0.8374,1
fips20199,0.8367,1
fips20203,0.8329,1
fips22001,0.3583,1
fips22003,0.3804,1
fips22009,0.4416,1
fips22019,0.383,1
fips22023,0.2298,1
fips22025,0.3346,1
fips22029,0.4139,1
fips22035,0.4326,1
fips22039,0.437,1
fips22041,0.3872,1
fips22053,0.3587,1
fips22065,0.4641,1
fips22067,0.3542,1
fips22069,0.1032,1
fips22073,0.1913,1
fips22077,0.4743,1
fips22079,0.1647,1
fips22083,0.3665,1
fips22097,0.4142,1
fips22107,0.4456,1
fips22113,0.2303,1
fips22123,0.4297,1
fips24011,0.4927,1
fips24019,0.5825,1
fips24035,0.5143,1
fips25023,0.4293,1
fips26005,0.238,1
fips26009,0.4056,1
fips26021,0.3127,1
fips26023,0.2406,1
fips26027,0.4019,1
fips26077,0.316,1
fips26107,0.3916,1
fips26117,0.3779,1
fips26149,0.3448,1
fips26159,0.3861,1
fips27037,0.616,1
fips27057,0.3412,1
fips27097,0.3524,1
fips27111,0.3641,1
fips27121,0.3016,1
fips27141,0.3723,1
fips27145,0.2954,1
fips27151,0.441,1
fips27159,0.681,1
fips28011,0.4687,1
fips28015,0.5334,1
fips28027,0.4931,1
fips28033,0.4987,1
fips28051,0.5208,1
fips28053,0.4986,1
fips28055,0.4939,1
fips28083,0.4886,1
fips28103,0.0452,1
fips28107,0.5072,1
fips28119,0.473,1
