node,diesel,blue_water
fips20069,1.3933,1
fips20071,1.3906,1
fips20075,1.2594,1
fips20079,1.3536,1
fips20081,1.391,1
fips20083,1.3629,1
fips20089,0.1195,1
fips20093,1.076,1
fips20095,1.3815,1
fips20097,1.396,1
fips20101,1.3754,1
fips20113,1.2903,1
fips20119,1.3935,1
fips20123,0.1284,1
fips20129,1.3959,1
fips20137,1.3425,1
fips20145,1.3685,1
fips20147,0.4905,1
fips20151,1.396,1
fips20153,1.389,1
fips20155,1.3909,1
fips20157,1.1964,1
fips20159,1.3918,1
fips20165,1.2966,1
fips20171,1.3656,1
fips20173,1.3626,1
fips20175,1.4731,1
fips20179,1.3942,1
fips20181,1.3955,1
fips20185,1.3937,1
fips20187,1.3863,1
fips20189,1.32,1
fips20193,1.3956,1
fips20199,1.3945,1
fips20203,1.3882,1
fips22001,0.5972,1
fips22003,0.6341,1
fips22009,0.736,1
fips22019,0.6383,1
fips22023,0.3831,1
fips22025,0.5577,1
fips22029,0.6899,1
fips22035,0.721,1
fips22039,0.7283,1
fips22041,0.6454,1
fips22053,0.5978,1
fips22065,0.7735,1
fips22067,0.5904,1
fips22069,0.172,1
fips22073,0.3188,1
fips22077,0.7904,1
fips22079,0.2746,1
fips22083,0.6108,1
fips22097,0.6903,1
fips22107,0.7427,1
fips22113,0.3838,1
fips22123,0.7161,1
fips24011,0.8212,1
fips24019,0.9709,1
fips24035,0.8572,1
fips25023,0.7155,1
fips26005,0.3967,1
fips26009,0.6759,1
fips26021,0.5211,1
fips26023,0.4009,1
fips26027,0.6698,1
fips26077,0.5266,1
fips26107,0.6527,1
fips26117,0.6298,1
fips26149,0.5747,1
fips26159,0.6435,1
fips27037,1.0267,1
fips27057,0.5686,1
fips27097,0.5873,1
fips27111,0.6068,1
fips27121,0.5027,1
fips27141,0.6206,1
fips27145,0.4923,1
fips27151,0.7351,1
fips27159,1.135,1
fips28011,0.7812,1
fips28015,0.889,1
fips28027,0.8218,1
fips28033,0.8312,1
fips28051,0.8679,1
fips28053,0.831,1
fips28055,0.8231,1
fips28083,0.8143,1
fips28103,0.0753,1
fips28107,0.8454,1
fips28119,0.7883,1
fips28125,0.8037,1
fips28133,0.7915,1
fips28135,0.8303,1
fips28143,0.8138,1
fips28151,0.7869,1
fips28163,0.8764,1
fips29005,0.2041,1
fips29007,0.0949,1
fips29011,0.2015,1
fips29023,0.21,1
fips29031,0.2108,1
fips29069,0.204,1
fips29087,0.1437,1
fips29133,0.2107,1
fips29143,0.204,1
fips29155,0.2107,1
fips29181,0.2041,1
fips29201,0.204,1
fips29207,0.2094,1
fips30001,0.0653,1
fips30003,0.0666,1
fips30005,0.0697,1
fips30007,0.0674,1
fips30009,0.0642,1
fips30011,0.0796,1
fips30013,0.0673,1
fips30015,0.0709,1
fips30017,0.0667,1
fips30021,0.0649,1
fips30023,0.0672,1
fips30027,0.0723,1
fips30029,0.2218,1
fips30031,0.0772,1
fips30035,0.0656,1
fips30037,0.0639,1
fips30039,0.0655,1
fips30041,0.1049,1
fips30043,0.0695,1
fips30045,0.0687,1
fips30047,0.0684,1
fips30049,0.0823,1
fips30051,0.0647,1
fips30053,0.0824,1
fips30055,0.0642,1
fips30057,0.0647,1
fips30059,0.0656,1
fips30063,0.096,1
fips30065,0.0648,1
fips30067,0.0658,1
fips30069,0.0663,1
fips30071,0.0676,1
fips30073,0.0685,1
fips30075,0.0708,1
fips30077,0.0668,1
fips30079,0.0723,1
fips30081,0.0705,1
fips30083,0.0648,1
fips30085,0.0749,1
fips30087,0.0672,1
fips30089,0.0765,1
fips30091,0.3877,1
fips30093,0.0723,1
fips30095,0.07,1
fips30097,0.0643,1
fips30099,0.0645,1
fips30101,0.0758,1
fips30103,0.0673,1
fips30105,0.0727,1
fips30107,0.0675,1
fips30111,0.0674,1
fips31001,0.7846,1
fips31003,1.1025,1
fips31005,1.1693,1
fips31007,0.5938,1
fips31009,1.007,1
fips31011,1.0523,1
fips31013,1.1754,1
fips31015,0.4698,1
fips31017,0.6007,1
fips31019,0.8135,1
fips31021,0.5813,1
fips31023,0.828,1
fips31027,0.7789,1
fips31029,1.1572,1
fips31031,1.0854,1
fips31033,0.9371,1
fips31035,0.7597,1
fips31037,0.6237,1
fips31039,0.7088,1
fips31041,1.1211,1
fips31043,0.6061,1
fips31045,0.3197,1
fips31047,0.7335,1
fips31049,0.6124,1
fips31051,0.6868,1
fips31053,0.5066,1
fips31055,0.4702,1
fips31057,0.9429,1
fips31059,0.9128,1
fips31061,0.7775,1
fips31063,1.0699,1
fips31065,0.4631,1
fips31067,0.6086,1
fips31069,0.7907,1
fips31071,0.7963,1
fips31073,0.8767,1
fips31077,1.1155,1
fips31079,0.514,1
fips31081,0.7749,1
fips31083,0.7824,1
fips31085,1.3186,1
fips31087,0.5658,1
fips31089,0.9017,1
fips31093,0.4429,1
fips31095,0.8175,1
fips31097,0.7567,1
fips31099,0.7045,1
fips31101,0.8773,1
fips31103,0.8194,1
fips31105,0.9067,1
fips31107,0.8003,1
fips31111,0.9631,1
fips31113,1.1402,1
fips31115,0.7515,1
fips31117,1.1914,1
fips31119,0.9308,1
fips31121,0.3964,1
fips31123,0.4701,1
fips31125,0.4768,1
fips31127,0.3711,1
fips31129,0.6058,1
fips31135,1.4754,1
fips31137,0.7121,1
fips31139,0.9109,1
fips31141,0.7494,1
fips31143,0.7899,1
fips31145,0.5851,1
fips31149,0.9929,1
fips31151,0.7027,1
fips31155,0.6993,1
fips31157,0.153,1
fips31159,0.7282,1
fips31161,0.9641,1
fips31163,1.077,1
fips31165,0.3744,1
fips31167,0.6682,1
fips31169,0.7739,1
fips31175,0.7955,1
fips31177,0.4932,1
fips31179,0.9339,1
fips31181,0.6379,1
fips31183,1.0743,1
fips31185,0.831,1
fips32001,0.0873,1
fips32003,1.0589,1
fips32005,0.1859,1
fips32007,0.1289,1
fips32009,1.4868,1
fips32011,1.446,1
fips32013,1.4686,1
fips32015,1.3908,1
fips32017,1.0453,1
fips32019,0.1556,1
fips32021,1.6336,1
fips32023,1.3727,1
fips32027,0.4747,1
fips32031,0.3714,1
fips32033,1.0753,1
fips34001,0.9358,1
fips34005,0.2959,1
fips34011,0.8822,1
