Name,price electricity [ct./kWh],Year
Missouri,9.44,2015
Missouri,9.74,2016
Missouri,10.03,2017
Missouri,9.93,2018
Missouri,9.68,2019
Missouri,9.64,2020
Missouri,9.85,2021
Montana,8.58,2013
Montana,8.59,2014
Montana,8.9,2015
Montana,8.84,2016
Montana,8.92,2017
Montana,8.84,2018
Montana,9.02,2019
Montana,9.13,2020
Montana,9.5,2021
Nebraska,9.71,2013
Nebraska,8.84,2014
Nebraska,8.91,2015
Nebraska,9.05,2016
Nebraska,9.08,2017
Nebraska,9.02,2018
Nebraska,9.08,2019
Nebraska,8.97,2020
Nebraska,8.84,2021
Nevada,9.03,2013
Nevada,9.73,2014
Nevada,9.48,2015
Nevada,8.39,2016
Nevada,8.76,2017
Nevada,8.67,2018
Nevada,8.78,2019
Nevada,8.33,2020
Nevada,8.58,2021
New Hampshire,14.3,2013
New Hampshire,15.22,2014
New Hampshire,16.02,2015
New Hampshire,15.66,2016
New Hampshire,16.17,2017
New Hampshire,17.01,2018
New Hampshire,17.15,2019
New Hampshire,16.63,2020
New Hampshire,17.37,2021
New Jersey,13.7,2013
New Jersey,13.95,2014
New Jersey,13.74,2015
New Jersey,13.38,2016
New Jersey,13.32,2017
New Jersey,13.23,2018
New Jersey,13.42,2019
New Jersey,13.63,2020
New Jersey,14.01,2021
New Mexico,9.25,2013
New Mexico,9.65,2014
New Mexico,9.62,2015
New Mexico,9.12,2016
New Mexico,9.59,2017
New Mexico,9.35,2018
New Mexico,8.99,2019
New Mexico,9.33,2020
New Mexico,9.79,2021
New York,15.4,2013
New York,16.25,2014
New York,15.28,2015
New York,14.47,2016
New York,14.74,2017
New York,14.83,2018
New York,14.34,2019
New York,14.87,2020
New York,16.11,2021
North Carolina,9.24,2013
North Carolina,9.33,2014
North Carolina,9.37,2015
North Carolina,9.2,2016
North Carolina,9.04,2017
North Carolina,9.25,2018
North Carolina,9.45,2019
North Carolina,9.43,2020
North Carolina,9.29,2021
North Dakota,8.2,2013
North Dakota,8.41,2014
North Dakota,8.75,2015
North Dakota,8.94,2016
North Dakota,8.78,2017
North Dakota,8.91,2018
North Dakota,8.85,2019
North Dakota,8.53,2020
North Dakota,8.65,2021
Ohio,9.2,2013
Ohio,9.73,2014
Ohio,9.98,2015
Ohio,9.84,2016
Ohio,9.84,2017
Ohio,9.94,2018
Ohio,9.58,2019
Ohio,9.44,2020
Ohio,9.76,2021
Oklahoma,7.87,2013
Oklahoma,8.18,2014
Oklahoma,7.9,2015
Oklahoma,7.83,2016
Oklahoma,8.2,2017
Oklahoma,8.09,2018
Oklahoma,7.86,2019
Oklahoma,7.63,2020
Oklahoma,8.52,2021
Oregon,8.44,2013
Oregon,8.68,2014
Oregon,8.75,2015
Oregon,8.83,2016
Oregon,8.81,2017
Oregon,8.85,2018
Oregon,8.81,2019
Oregon,8.82,2020
Oregon,8.95,2021
Pennsylvania,10.6,2013
Pennsylvania,10.28,2014
Pennsylvania,10.31,2015
Pennsylvania,10.19,2016
Pennsylvania,10.13,2017
Pennsylvania,10.1,2018
Pennsylvania,9.81,2019
Pennsylvania,9.7,2020
Pennsylvania,9.97,2021
Rhode Island,13.7,2013
Rhode Island,15.41,2014
Rhode Island,17.01,2015
Rhode Island,16.28,2016
